;Tarih;TP_BEK_S07_A_A
0;2013-1;4.2
1;2013-2;4.22
2;2013-3;4.23
3;2013-4;4.2
4;2013-5;4.05
5;2013-6;3.89
6;2013-7;3.57
7;2013-8;3.47
8;2013-9;3.51
9;2013-10;3.51
10;2013-11;3.52
11;2013-12;3.71
12;2014-1;3.23
13;2014-2;2.75
14;2014-3;2.62
15;2014-4;2.73
16;2014-5;2.81
17;2014-6;3.31
18;2014-7;3.32
19;2014-8;3.27
20;2014-9;3.18
21;2014-10;3.12
22;2014-11;3.16
23;2014-12;3.04
24;2015-1;3.41
25;2015-2;3.43
26;2015-3;3.3
27;2015-4;3.03
28;2015-5;3.03
29;2015-6;3.02
30;2015-7;2.96
31;2015-8;2.85
32;2015-9;2.85
33;2015-10;2.9
34;2015-11;2.94
35;2015-12;3.22
36;2016-1;3.43
37;2016-2;3.53
38;2016-3;3.54
39;2016-4;3.58
40;2016-5;3.58
41;2016-6;3.63
42;2016-7;3.65
43;2016-8;3.46
44;2016-9;3.38
45;2016-10;3.2
46;2016-11;2.9
47;2016-12;2.62
48;2017-1;2.9
49;2017-2;2.87
50;2017-3;2.86
51;2017-4;3.02
52;2017-5;3.23
53;2017-6;3.43
54;2017-7;4.13
55;2017-8;4.4
56;2017-9;4.56
57;2017-10;5.16
58;2017-11;5.51
59;2017-12;5.71
60;2018-1;4.55
61;2018-2;4.56
62;2018-3;4.58
63;2018-4;4.68
64;2018-5;4.6
65;2018-6;4.17
66;2018-7;4.15
67;2018-8;3.81
68;2018-9;3.4
69;2018-10;3.17
70;2018-11;3.03
71;2018-12;2.97
72;2019-1;1.17
73;2019-2;1.19
74;2019-3;1.01
75;2019-4;0.59
76;2019-5;0.29
77;2019-6;0.04
78;2019-7;-0.02
79;2019-8;0.02
80;2019-9;0.01
81;2019-10;0.09
82;2019-11;0.28
83;2019-12;0.42
84;2020-1;3.36
85;2020-2;3.5
86;2020-3;3.33
87;2020-4;-0.6
88;2020-5;-1.4
89;2020-6;-1.33
90;2020-7;-1.32
91;2020-8;-1.56
92;2020-9;-1.48
93;2020-10;-0.83
94;2020-11;-0.55
95;2020-12;0.49
96;2021-1;3.85
97;2021-2;4.05
98;2021-3;4.42
99;2021-4;4.34
100;2021-5;4.32
101;2021-6;4.9
102;2021-7;5.75
103;2021-8;5.96
104;2021-9;7.93
105;2021-10;8.56
106;2021-11;8.98
107;2021-12;9.76
108;2022-1;3.69
109;2022-2;3.61
110;2022-3;3.24
111;2022-4;3.11
112;2022-5;3.21
113;2022-6;3.37
114;2022-7;3.52
115;2022-8;3.57
116;2022-9;4.98
117;2022-10;5.15
118;2022-11;5.19
119;2022-12;5.1
120;2023-1;4.1
121;2023-2;3.61
122;2023-3;3.45
123;2023-4;3.51
124;2023-5;3.66
125;2023-6;3.78
126;2023-7;3.73
127;2023-8;3.7
128;2023-9;3.92
129;2023-10;4.13
130;2023-11;4.15
131;2023-12;4.23
132;2024-1;3.3
