;Tarih;TP_BEK_S07_B_A
0;2013-1;4.74
1;2013-2;4.73
2;2013-3;4.69
3;2013-4;4.77
4;2013-5;4.67
5;2013-6;4.52
6;2013-7;4.27
7;2013-8;4.19
8;2013-9;3.98
9;2013-10;3.93
10;2013-11;3.83
11;2013-12;3.88
12;2014-1;3.93
13;2014-2;3.79
14;2014-3;3.69
15;2014-4;3.72
16;2014-5;3.75
17;2014-6;3.86
18;2014-7;3.87
19;2014-8;3.78
20;2014-9;3.65
21;2014-10;3.6
22;2014-11;3.53
23;2014-12;3.48
24;2015-1;3.78
25;2015-2;3.83
26;2015-3;3.75
27;2015-4;3.63
28;2015-5;3.61
29;2015-6;3.51
30;2015-7;3.46
31;2015-8;3.41
32;2015-9;3.15
33;2015-10;3.16
34;2015-11;3.3
35;2015-12;3.34
36;2016-1;3.78
37;2016-2;3.9
38;2016-3;3.89
39;2016-4;3.88
40;2016-5;3.86
41;2016-6;3.87
42;2016-7;3.85
43;2016-8;3.78
44;2016-9;3.72
45;2016-10;3.59
46;2016-11;3.3
47;2016-12;3.2
48;2017-1;3.53
49;2017-2;3.49
50;2017-3;3.46
51;2017-4;3.63
52;2017-5;3.69
53;2017-6;3.69
54;2017-7;3.94
55;2017-8;3.97
56;2017-9;4.04
57;2017-10;4.29
58;2017-11;4.22
59;2017-12;4.23
60;2018-1;4.48
61;2018-2;4.46
62;2018-3;4.5
63;2018-4;4.48
64;2018-5;4.4
65;2018-6;4.01
66;2018-7;3.97
67;2018-8;3.44
68;2018-9;2.62
69;2018-10;1.75
70;2018-11;1.4
71;2018-12;1.38
72;2019-1;3.03
73;2019-2;3.13
74;2019-3;3.09
75;2019-4;2.91
76;2019-5;2.81
77;2019-6;2.69
78;2019-7;2.62
79;2019-8;2.64
80;2019-9;2.66
81;2019-10;2.96
82;2019-11;3.06
83;2019-12;3.19
84;2020-1;3.72
85;2020-2;3.78
86;2020-3;3.85
87;2020-4;4.64
88;2020-5;4.61
89;2020-6;4.61
90;2020-7;4.65
91;2020-8;4.46
92;2020-9;4.17
93;2020-10;4.12
94;2020-11;3.99
95;2020-12;3.82
96;2021-1;4.27
97;2021-2;4.26
98;2021-3;4.24
99;2021-4;4.13
100;2021-5;4.04
101;2021-6;3.97
102;2021-7;3.92
103;2021-8;3.89
104;2021-9;4.15
105;2021-10;4.06
106;2021-11;4.08
107;2021-12;3.81
108;2022-1;4.23
109;2022-2;4.21
110;2022-3;4.16
111;2022-4;4.0
112;2022-5;3.91
113;2022-6;3.72
114;2022-7;3.8
115;2022-8;3.63
116;2022-9;4.63
117;2022-10;4.4
118;2022-11;4.29
119;2022-12;4.06
120;2023-1;4.12
121;2023-2;4.12
122;2023-3;4.38
123;2023-4;4.43
124;2023-5;4.6
125;2023-6;4.53
126;2023-7;4.31
127;2023-8;4.04
128;2023-9;3.87
129;2023-10;3.48
130;2023-11;3.35
131;2023-12;3.33
132;2024-1;3.85
