;Tarih;TP_BEK_S07_B_B
0;2013-1;6.5
1;2013-2;6.5
2;2013-3;6.5
3;2013-4;6.0
4;2013-5;6.5
5;2013-6;6.5
6;2013-7;6.1
7;2013-8;5.4
8;2013-9;5.3
9;2013-10;5.1
10;2013-11;4.8
11;2013-12;4.75
12;2014-1;5.0
13;2014-2;5.1
14;2014-3;5.5
15;2014-4;5.5
16;2014-5;5.5
17;2014-6;5.5
18;2014-7;5.5
19;2014-8;5.5
20;2014-9;5.0
21;2014-10;5.0
22;2014-11;4.5
23;2014-12;5.0
24;2015-1;5.0
25;2015-2;5.0
26;2015-3;5.0
27;2015-4;5.0
28;2015-5;5.0
29;2015-6;4.4
30;2015-7;4.5
31;2015-8;4.5
32;2015-9;4.5
33;2015-10;4.5
34;2015-11;4.5
35;2015-12;4.5
36;2016-1;5.0
37;2016-2;5.0
38;2016-3;5.0
39;2016-4;5.0
40;2016-5;4.75
41;2016-6;5.0
42;2016-7;5.0
43;2016-8;4.8
44;2016-9;4.5
45;2016-10;4.5
46;2016-11;4.5
47;2016-12;4.9
48;2017-1;5.0
49;2017-2;4.9
50;2017-3;4.9
51;2017-4;5.0
52;2017-5;5.0
53;2017-6;5.0
54;2017-7;5.0
55;2017-8;5.0
56;2017-9;5.25
57;2017-10;5.5
58;2017-11;5.7
59;2017-12;6.5
60;2018-1;6.0
61;2018-2;6.0
62;2018-3;6.0
63;2018-4;5.6
64;2018-5;6.5
65;2018-6;5.5
66;2018-7;5.5
67;2018-8;5.5
68;2018-9;5.0
69;2018-10;4.0
70;2018-11;3.5
71;2018-12;3.5
72;2019-1;4.4
73;2019-2;4.46
74;2019-3;5.0
75;2019-4;4.32
76;2019-5;4.0
77;2019-6;4.0
78;2019-7;4.5
79;2019-8;4.5
80;2019-9;5.0
81;2019-10;5.0
82;2019-11;5.0
83;2019-12;5.0
84;2020-1;5.0
85;2020-2;5.0
86;2020-3;5.0
87;2020-4;9.0
88;2020-5;9.0
89;2020-6;7.5
90;2020-7;7.0
91;2020-8;8.6
92;2020-9;6.5
93;2020-10;6.3
94;2020-11;6.2
95;2020-12;5.82
96;2021-1;6.0
97;2021-2;6.0
98;2021-3;5.8
99;2021-4;5.0
100;2021-5;5.0
101;2021-6;5.2
102;2021-7;5.7
103;2021-8;6.0
104;2021-9;5.5
105;2021-10;5.5
106;2021-11;5.5
107;2021-12;5.2
108;2022-1;5.5
109;2022-2;5.5
110;2022-3;5.5
111;2022-4;5.5
112;2022-5;6.0
113;2022-6;5.5
114;2022-7;5.5
115;2022-8;5.4
116;2022-9;10.5
117;2022-10;10.5
118;2022-11;10.5
119;2022-12;6.0
120;2023-1;7.5
121;2023-2;7.5
122;2023-3;6.0
123;2023-4;6.0
124;2023-5;6.0
125;2023-6;8.0
126;2023-7;6.0
127;2023-8;5.5
128;2023-9;6.5
129;2023-10;8.25
130;2023-11;8.0
131;2023-12;8.5
132;2024-1;5.7
