;Tarih;TP_BEK_S07_B_D
0;2013-1;5.0
1;2013-2;5.0
2;2013-3;5.0
3;2013-4;5.0
4;2013-5;5.0
5;2013-6;4.5
6;2013-7;4.0
7;2013-8;4.0
8;2013-9;4.0
9;2013-10;4.0
10;2013-11;4.0
11;2013-12;4.0
12;2014-1;4.0
13;2014-2;4.0
14;2014-3;4.0
15;2014-4;4.0
16;2014-5;4.0
17;2014-6;4.0
18;2014-7;4.0
19;2014-8;4.0
20;2014-9;4.0
21;2014-10;4.0
22;2014-11;3.5
23;2014-12;3.5
24;2015-1;4.0
25;2015-2;4.0
26;2015-3;4.0
27;2015-4;3.5
28;2015-5;3.5
29;2015-6;3.5
30;2015-7;3.5
31;2015-8;3.5
32;2015-9;3.0
33;2015-10;3.0
34;2015-11;3.5
35;2015-12;3.5
36;2016-1;4.0
37;2016-2;4.0
38;2016-3;4.0
39;2016-4;4.0
40;2016-5;4.0
41;2016-6;4.0
42;2016-7;4.0
43;2016-8;4.0
44;2016-9;4.0
45;2016-10;4.0
46;2016-11;3.0
47;2016-12;3.0
48;2017-1;4.0
49;2017-2;3.5
50;2017-3;3.5
51;2017-4;3.5
52;2017-5;3.5
53;2017-6;3.5
54;2017-7;4.0
55;2017-8;4.0
56;2017-9;4.0
57;2017-10;4.0
58;2017-11;4.0
59;2017-12;4.0
60;2018-1;4.0
61;2018-2;4.5
62;2018-3;4.5
63;2018-4;4.5
64;2018-5;4.5
65;2018-6;4.0
66;2018-7;4.0
67;2018-8;3.0
68;2018-9;3.0
69;2018-10;2.0
70;2018-11;2.0
71;2018-12;2.0
72;2019-1;3.0
73;2019-2;3.0
74;2019-3;3.0
75;2019-4;3.0
76;2019-5;3.0
77;2019-6;3.0
78;2019-7;2.0
79;2019-8;2.5
80;2019-9;2.5
81;2019-10;2.5
82;2019-11;3.0
83;2019-12;3.0
84;2020-1;4.0
85;2020-2;4.0
86;2020-3;4.0
87;2020-4;5.0
88;2020-5;5.0
89;2020-6;5.0
90;2020-7;5.0
91;2020-8;5.0
92;2020-9;4.0
93;2020-10;4.0
94;2020-11;4.0
95;2020-12;4.0
96;2021-1;4.0
97;2021-2;4.0
98;2021-3;4.0
99;2021-4;4.0
100;2021-5;4.0
101;2021-6;4.0
102;2021-7;4.0
103;2021-8;4.0
104;2021-9;4.0
105;2021-10;4.0
106;2021-11;4.0
107;2021-12;5.0
108;2022-1;4.0
109;2022-2;4.0
110;2022-3;4.0
111;2022-4;4.0
112;2022-5;4.0
113;2022-6;4.0
114;2022-7;4.0
115;2022-8;4.0
116;2022-9;5.0
117;2022-10;4.0
118;2022-11;3.0
119;2022-12;4.0
120;2023-1;5.0
121;2023-2;4.0
122;2023-3;4.5
123;2023-4;5.0
124;2023-5;5.0
125;2023-6;5.0
126;2023-7;4.0
127;2023-8;5.0
128;2023-9;4.0
129;2023-10;3.5
130;2023-11;3.5
131;2023-12;3.5
132;2024-1;4.0
