;Tarih;YEARWEEK;TP_BS11_CARI
0;30-12-2011;2011-52;24499.9
1;06-01-2012;2012-1;24087.9
2;13-01-2012;2012-2;23998.1
3;20-01-2012;2012-3;23106.4
4;27-01-2012;2012-4;25627.5
5;03-02-2012;2012-5;26257.2
6;10-02-2012;2012-6;25581.1
7;17-02-2012;2012-7;26516.1
8;24-02-2012;2012-8;26484.2
9;02-03-2012;2012-9;26603.9
10;09-03-2012;2012-10;26794.0
11;16-03-2012;2012-11;27704.5
12;23-03-2012;2012-12;27605.7
13;30-03-2012;2012-13;27400.7
14;06-04-2012;2012-14;27584.6
15;13-04-2012;2012-15;27696.8
16;20-04-2012;2012-16;27499.7
17;27-04-2012;2012-17;27715.7
18;04-05-2012;2012-18;27818.9
19;11-05-2012;2012-19;27432.2
20;18-05-2012;2012-20;26889.8
21;25-05-2012;2012-21;26678.5
22;01-06-2012;2012-22;26479.0
23;08-06-2012;2012-23;27129.4
24;15-06-2012;2012-24;27421.4
25;22-06-2012;2012-25;27485.5
26;29-06-2012;2012-26;28489.2
27;06-07-2012;2012-27;28362.0
28;13-07-2012;2012-28;28872.2
29;20-07-2012;2012-29;29133.1
30;27-07-2012;2012-30;29678.3
31;03-08-2012;2012-31;30319.7
32;10-08-2012;2012-32;30025.8
33;17-08-2012;2012-33;29228.6
34;24-08-2012;2012-34;30299.8
35;31-08-2012;2012-35;30472.6
36;07-09-2012;2012-36;31061.9
37;14-09-2012;2012-37;31317.2
38;21-09-2012;2012-38;30972.7
39;28-09-2012;2012-39;32025.3
40;05-10-2012;2012-40;32508.3
41;12-10-2012;2012-41;32508.4
42;19-10-2012;2012-42;32846.7
43;26-10-2012;2012-43;32777.5
44;02-11-2012;2012-44;32659.2
45;09-11-2012;2012-45;33595.0
46;16-11-2012;2012-46;33632.5
47;23-11-2012;2012-47;33647.9
48;30-11-2012;2012-48;33843.4
49;07-12-2012;2012-49;34181.9
50;14-12-2012;2012-50;34246.0
51;21-12-2012;2012-51;34444.3
52;28-12-2012;2012-52;34961.1
53;04-01-2013;2013-1;34661.9
54;11-01-2013;2013-2;35677.9
55;18-01-2013;2013-3;34931.6
56;25-01-2013;2013-4;35456.32
57;01-02-2013;2013-5;34884.05
58;08-02-2013;2013-6;34586.53
59;15-02-2013;2013-7;34649.63
60;22-02-2013;2013-8;34047.84
61;01-03-2013;2013-9;34343.94
62;08-03-2013;2013-10;33860.09
63;15-03-2013;2013-11;33493.12
64;22-03-2013;2013-12;33449.91
65;29-03-2013;2013-13;32960.79
66;05-04-2013;2013-14;33966.8
67;12-04-2013;2013-15;34110.25
68;19-04-2013;2013-16;35370.5
69;26-04-2013;2013-17;35606.39
70;03-05-2013;2013-18;35931.2
71;10-05-2013;2013-19;35626.81
72;17-05-2013;2013-20;35274.9
73;24-05-2013;2013-21;34685.0
74;31-05-2013;2013-22;34297.1
75;07-06-2013;2013-23;33799.1
76;14-06-2013;2013-24;34251.6
