;Tarih;YEARWEEK;TP_BS11_NOMINAL
0;30-12-2011;2011-52;22983.2
1;06-01-2012;2012-1;22989.8
2;13-01-2012;2012-2;22892.6
3;20-01-2012;2012-3;21996.5
4;27-01-2012;2012-4;24115.5
5;03-02-2012;2012-5;24341.7
6;10-02-2012;2012-6;23829.4
7;17-02-2012;2012-7;24366.7
8;24-02-2012;2012-8;24182.4
9;02-03-2012;2012-9;24203.4
10;09-03-2012;2012-10;24195.8
11;16-03-2012;2012-11;25229.7
12;23-03-2012;2012-12;25367.1
13;30-03-2012;2012-13;25060.0
14;06-04-2012;2012-14;25257.4
15;13-04-2012;2012-15;25272.0
16;20-04-2012;2012-16;25013.0
17;27-04-2012;2012-17;25039.4
18;04-05-2012;2012-18;25042.0
19;11-05-2012;2012-19;24894.0
20;18-05-2012;2012-20;24615.7
21;25-05-2012;2012-21;24402.4
22;01-06-2012;2012-22;24329.0
23;08-06-2012;2012-23;24573.7
24;15-06-2012;2012-24;24523.9
25;22-06-2012;2012-25;24399.2
26;29-06-2012;2012-26;25318.3
27;06-07-2012;2012-27;24870.9
28;13-07-2012;2012-28;25094.4
29;20-07-2012;2012-29;25050.1
30;27-07-2012;2012-30;25560.5
31;03-08-2012;2012-31;25807.2
32;10-08-2012;2012-32;25650.3
33;17-08-2012;2012-33;24986.9
34;24-08-2012;2012-34;25790.0
35;31-08-2012;2012-35;25791.0
36;07-09-2012;2012-36;26151.2
37;14-09-2012;2012-37;26444.9
38;21-09-2012;2012-38;26369.2
39;28-09-2012;2012-39;27424.3
40;05-10-2012;2012-40;27540.3
41;12-10-2012;2012-41;27492.8
42;19-10-2012;2012-42;27649.5
43;26-10-2012;2012-43;27720.0
44;02-11-2012;2012-44;27577.8
45;09-11-2012;2012-45;27719.0
46;16-11-2012;2012-46;27727.7
47;23-11-2012;2012-47;27657.8
48;30-11-2012;2012-48;27516.9
49;07-12-2012;2012-49;27881.1
50;14-12-2012;2012-50;28290.2
51;21-12-2012;2012-51;28436.9
52;28-12-2012;2012-52;28790.9
53;04-01-2013;2013-1;28623.3
54;11-01-2013;2013-2;29917.3
55;18-01-2013;2013-3;29040.1
56;25-01-2013;2013-4;29274.12
57;01-02-2013;2013-5;29195.05
58;08-02-2013;2013-6;29283.94
59;15-02-2013;2013-7;29224.49
60;22-02-2013;2013-8;29108.05
61;01-03-2013;2013-9;29057.15
62;08-03-2013;2013-10;28859.34
63;15-03-2013;2013-11;28645.21
64;22-03-2013;2013-12;28654.42
65;29-03-2013;2013-13;28350.08
66;05-04-2013;2013-14;28582.7
67;12-04-2013;2013-15;28544.51
68;19-04-2013;2013-16;29925.24
69;26-04-2013;2013-17;30064.39
70;03-05-2013;2013-18;30082.0
71;10-05-2013;2013-19;29939.0
72;17-05-2013;2013-20;29612.0
73;24-05-2013;2013-21;29495.4
74;31-05-2013;2013-22;29395.9
75;07-06-2013;2013-23;29753.3
76;14-06-2013;2013-24;30029.0
77;21-06-2013;2013-25;29702.5
78;28-06-2013;2013-26;29475.5
79;05-07-2013;2013-27;29299.6
80;12-07-2013;2013-28;29760.4
81;19-07-2013;2013-29;29486.5
82;26-07-2013;2013-30;29433.5
83;02-08-2013;2013-31;29594.8
84;09-08-2013;2013-32;29628.9
85;16-08-2013;2013-33;29642.1
86;23-08-2013;2013-34;29572.7
87;30-08-2013;2013-35;29648.85
88;06-09-2013;2013-36;29699.6
89;13-09-2013;2013-37;29366.5
90;20-09-2013;2013-38;29320.8
91;27-09-2013;2013-39;29566.8
92;04-10-2013;2013-40;29970.3
93;11-10-2013;2013-41;30756.8
94;18-10-2013;2013-42;30667.4
95;25-10-2013;2013-43;30968.9
96;01-11-2013;2013-44;31061.5
97;08-11-2013;2013-45;31047.7
98;15-11-2013;2013-46;32243.9
99;22-11-2013;2013-47;32382.6
100;29-11-2013;2013-48;32457.4
101;06-12-2013;2013-49;32778.8
102;13-12-2013;2013-50;32837.3
103;20-12-2013;2013-51;32589.3
104;27-12-2013;2013-52;32204.2
105;03-01-2014;2014-1;32778.5
106;10-01-2014;2014-2;33592.7
107;17-01-2014;2014-3;31341.8
108;24-01-2014;2014-4;31025.9
109;31-01-2014;2014-5;33648.2
110;07-02-2014;2014-6;33146.7
111;14-02-2014;2014-7;32141.2
112;21-02-2014;2014-8;32681.2
113;28-02-2014;2014-9;32469.7
114;07-03-2014;2014-10;32355.6
115;14-03-2014;2014-11;32299.8
116;21-03-2014;2014-12;32278.5
117;28-03-2014;2014-13;32306.0
118;04-04-2014;2014-14;32515.1
119;11-04-2014;2014-15;33354.2
120;18-04-2014;2014-16;33518.5
121;25-04-2014;2014-17;33428.6
122;02-05-2014;2014-18;33344.3
123;09-05-2014;2014-19;33203.1
124;16-05-2014;2014-20;32884.5
125;23-05-2014;2014-21;33318.4
126;30-05-2014;2014-22;32894.2
127;06-06-2014;2014-23;33181.3
128;13-06-2014;2014-24;32709.13
129;20-06-2014;2014-25;32696.0
130;27-06-2014;2014-26;32795.9
131;04-07-2014;2014-27;32816.6
132;11-07-2014;2014-28;32777.9
133;18-07-2014;2014-29;32753.5
134;25-07-2014;2014-30;32706.5
135;01-08-2014;2014-31;32677.9
136;08-08-2014;2014-32;32553.9
137;15-08-2014;2014-33;32346.0
138;22-08-2014;2014-34;32448.4
139;29-08-2014;2014-35;32391.0
140;05-09-2014;2014-36;32358.5
141;12-09-2014;2014-37;32033.4
142;19-09-2014;2014-38;31999.8
143;26-09-2014;2014-39;32705.1
144;03-10-2014;2014-40;32696.0
145;10-10-2014;2014-41;32602.1
146;17-10-2014;2014-42;33049.3
147;24-10-2014;2014-43;32781.8
148;31-10-2014;2014-44;32647.6
149;07-11-2014;2014-45;32167.4
150;14-11-2014;2014-46;32227.8
151;21-11-2014;2014-47;32165.4
152;28-11-2014;2014-48;32736.8
153;05-12-2014;2014-49;32514.0
154;12-12-2014;2014-50;32438.9
155;19-12-2014;2014-51;32551.5
156;26-12-2014;2014-52;32432.8
157;02-01-2015;2015-1;32295.8
158;09-01-2015;2015-2;32298.5
159;16-01-2015;2015-3;32769.0
160;23-01-2015;2015-4;33414.2
161;30-01-2015;2015-5;32816.3
162;06-02-2015;2015-6;33197.7
163;13-02-2015;2015-7;33261.0
164;20-02-2015;2015-8;33015.1
165;27-02-2015;2015-9;32873.0
166;06-03-2015;2015-10;32704.7
167;13-03-2015;2015-11;32407.5
168;20-03-2015;2015-12;30718.6
169;27-03-2015;2015-13;30667.5
