;Tarih;TP_DB_B36
0;1989-Q4;11.0
1;1990-Q1;14.0
2;1990-Q2;22.0
3;1990-Q3;32.0
4;1990-Q4;32.0
5;1991-Q1;38.0
6;1991-Q2;43.0
7;1991-Q3;58.0
8;1991-Q4;68.0
9;1992-Q1;69.0
10;1992-Q2;79.0
11;1992-Q3;116.0
12;1992-Q4;132.0
13;1993-Q1;180.0
14;1993-Q2;268.0
15;1993-Q3;389.0
16;1993-Q4;464.0
17;1994-Q1;506.0
18;1994-Q2;538.0
19;1994-Q3;557.0
20;1994-Q4;594.0
21;1995-Q1;606.0
22;1995-Q2;636.0
23;1995-Q3;732.0
24;1995-Q4;763.0
25;1996-Q1;770.0
26;1996-Q2;803.0
27;1996-Q3;951.0
28;1996-Q4;1084.0
29;1997-Q1;1221.0
30;1997-Q2;1370.0
31;1997-Q3;1530.0
32;1997-Q4;1774.0
33;1998-Q1;1914.0
34;1998-Q2;2231.0
35;1998-Q3;2492.0
36;1998-Q4;2605.0
37;1999-Q1;2584.0
38;1999-Q2;2415.0
39;1999-Q3;2529.0
40;1999-Q4;2703.0
41;2000-Q1;2595.0
42;2000-Q2;2781.0
43;2000-Q3;2819.0
44;2000-Q4;3029.0
45;2001-Q1;2856.0
46;2001-Q2;2513.0
47;2001-Q3;2315.0
48;2001-Q4;1578.0
49;2002-Q1;3464.0
50;2002-Q2;3787.0
51;2002-Q3;3692.0
52;2002-Q4;3821.0
53;2003-Q1;3645.0
54;2003-Q2;3763.0
55;2003-Q3;3944.0
56;2003-Q4;4175.0
57;2004-Q1;4235.0
58;2004-Q2;4425.0
59;2004-Q3;4565.0
60;2004-Q4;4805.0
61;2005-Q1;4857.0
62;2005-Q2;4934.0
63;2005-Q3;5689.0
64;2005-Q4;8756.0
65;2006-Q1;12996.0
66;2006-Q2;13737.0
67;2006-Q3;14574.0
68;2006-Q4;15656.0
69;2007-Q1;15928.0
70;2007-Q2;17038.0
71;2007-Q3;19225.0
72;2007-Q4;21193.0
73;2008-Q1;22110.0
74;2008-Q2;23029.0
75;2008-Q3;22757.0
76;2008-Q4;21714.0
77;2009-Q1;19964.0
78;2009-Q2;19827.0
79;2009-Q3;18678.0
80;2009-Q4;17245.0
81;2010-Q1;15430.0
82;2010-Q2;14042.0
83;2010-Q3;14155.0
84;2010-Q4;12614.0
85;2011-Q1;12773.0
86;2011-Q2;12985.0
87;2011-Q3;13051.0
88;2011-Q4;13201.0
89;2012-Q1;13991.0
90;2012-Q2;14739.0
91;2012-Q3;15216.0
92;2012-Q4;15421.0
93;2013-Q1;15497.0
94;2013-Q2;17371.0
95;2013-Q3;17856.0
96;2013-Q4;18232.0
97;2014-Q1;18920.0
98;2014-Q2;20506.0
99;2014-Q3;19144.0
100;2014-Q4;19118.0
101;2015-Q1;18613.0
102;2015-Q2;19635.0
103;2015-Q3;19527.0
104;2015-Q4;19697.0
105;2016-Q1;20653.0
106;2016-Q2;20365.0
107;2016-Q3;20363.0
108;2016-Q4;19415.0
109;2017-Q1;18247.0
110;2017-Q2;18881.0
111;2017-Q3;18797.0
112;2017-Q4;18682.0
113;2018-Q1;19536.0
114;2018-Q2;18343.0
115;2018-Q3;18125.0
116;2018-Q4;17873.0
117;2019-Q1;17496.0
118;2019-Q2;14769.0
119;2019-Q3;13885.0
120;2019-Q4;13181.0
121;2020-Q1;12177.0
122;2020-Q2;10192.0
123;2020-Q3;9885.0
124;2020-Q4;10005.0
125;2021-Q1;9739.0
126;2021-Q2;9634.0
127;2021-Q3;9295.0
128;2021-Q4;8763.0
129;2022-Q1;9000.0
130;2022-Q2;8650.0
131;2022-Q3;8419.0
132;2022-Q4;9428.0
133;2023-Q1;8153.0
134;2023-Q2;8218.0
135;2023-Q3;8146.0
