;Tarih;TP_DB_D50
0;1983-Q4;1223.0
1;1984-Q1;
2;1984-Q2;
3;1984-Q3;
4;1984-Q4;1057.0
5;1985-Q1;
6;1985-Q2;
7;1985-Q3;
8;1985-Q4;1562.0
9;1986-Q1;
10;1986-Q2;
11;1986-Q3;
12;1986-Q4;1986.0
13;1987-Q1;
14;1987-Q2;
15;1987-Q3;
16;1987-Q4;2619.0
17;1988-Q1;
18;1988-Q2;
19;1988-Q3;
20;1988-Q4;2433.0
21;1989-Q1;
22;1989-Q2;
23;1989-Q3;
24;1989-Q4;2795.0
25;1990-Q1;
26;1990-Q2;
27;1990-Q3;
28;1990-Q4;3976.0
29;1991-Q1;2958.0
30;1991-Q2;2593.0
31;1991-Q3;2856.0
32;1991-Q4;2983.0
33;1992-Q1;2913.0
34;1992-Q2;2578.0
35;1992-Q3;3052.0
36;1992-Q4;2595.0
37;1993-Q1;2630.0
38;1993-Q2;2607.0
39;1993-Q3;2909.0
40;1993-Q4;3097.0
41;1994-Q1;3253.0
42;1994-Q2;3155.0
43;1994-Q3;3314.0
44;1994-Q4;3266.0
45;1995-Q1;3489.0
46;1995-Q2;3488.0
47;1995-Q3;3852.0
48;1995-Q4;4471.0
49;1996-Q1;4113.0
50;1996-Q2;4777.0
51;1996-Q3;5233.0
52;1996-Q4;5523.0
