;Tarih;TP_DK_EUR_A_EF
0;02-01-2002;1280390.0
1;03-01-2002;1302260.0
2;04-01-2002;1288285.0
3;05-01-2002;
4;06-01-2002;
5;07-01-2002;1255848.0
6;08-01-2002;1235884.0
7;09-01-2002;1233984.0
8;10-01-2002;1242799.0
9;11-01-2002;1231263.0
10;12-01-2002;
11;13-01-2002;
12;14-01-2002;1224647.0
13;15-01-2002;1210664.0
14;16-01-2002;1214408.0
15;17-01-2002;1202568.0
16;18-01-2002;1197803.0
17;19-01-2002;
18;20-01-2002;
19;21-01-2002;1180009.0
20;22-01-2002;1165855.0
21;23-01-2002;1172967.0
22;24-01-2002;1189217.0
23;25-01-2002;1175682.0
24;26-01-2002;
25;27-01-2002;
26;28-01-2002;1146046.0
27;29-01-2002;1135746.0
28;30-01-2002;1132083.0
29;31-01-2002;1138163.0
30;01-02-2002;1125590.0
31;02-02-2002;
32;03-02-2002;
33;04-02-2002;1120803.0
34;05-02-2002;1129332.0
35;06-02-2002;1130511.0
36;07-02-2002;1145200.0
37;08-02-2002;1149965.0
38;09-02-2002;
39;10-02-2002;
40;11-02-2002;1195434.0
41;12-02-2002;1209508.0
42;13-02-2002;1198613.0
43;14-02-2002;1169836.0
44;15-02-2002;1163896.0
45;16-02-2002;
46;17-02-2002;
47;18-02-2002;1171234.0
48;19-02-2002;1174284.0
49;20-02-2002;1185485.0
50;21-02-2002;1195145.0
51;22-02-2002;
52;23-02-2002;
53;24-02-2002;
54;25-02-2002;
55;26-02-2002;1195145.0
56;27-02-2002;1204268.0
57;28-02-2002;1209141.0
58;01-03-2002;1196848.0
59;02-03-2002;
60;03-03-2002;
61;04-03-2002;1199440.0
62;05-03-2002;1189249.0
63;06-03-2002;1193320.0
64;07-03-2002;1195483.0
65;08-03-2002;1191514.0
66;09-03-2002;
67;10-03-2002;
68;11-03-2002;1190611.0
69;12-03-2002;1185844.0
70;13-03-2002;1185837.0
71;14-03-2002;1182548.0
72;15-03-2002;1187616.0
73;16-03-2002;
74;17-03-2002;
75;18-03-2002;1186105.0
76;19-03-2002;1182057.0
77;20-03-2002;1197722.0
78;21-03-2002;1181844.0
79;22-03-2002;1181305.0
80;23-03-2002;
81;24-03-2002;
82;25-03-2002;1171455.0
83;26-03-2002;1172582.0
84;27-03-2002;1166931.0
85;28-03-2002;1160329.0
86;29-03-2002;1161118.0
87;30-03-2002;
88;31-03-2002;
89;01-04-2002;1166141.0
90;02-04-2002;1172868.0
91;03-04-2002;1167395.0
92;04-04-2002;1167737.0
93;05-04-2002;1156938.0
94;06-04-2002;
95;07-04-2002;
96;08-04-2002;1146449.0
97;09-04-2002;1145524.0
98;10-04-2002;1142082.0
99;11-04-2002;1143708.0
100;12-04-2002;1134713.0
101;13-04-2002;
102;14-04-2002;
103;15-04-2002;1132008.0
104;16-04-2002;1143211.0
105;17-04-2002;1132744.0
106;18-04-2002;1151446.0
107;19-04-2002;1154192.0
108;20-04-2002;
109;21-04-2002;
110;22-04-2002;1155866.0
111;23-04-2002;
112;24-04-2002;1165487.0
113;25-04-2002;1182937.0
114;26-04-2002;1209606.0
115;27-04-2002;
116;28-04-2002;
117;29-04-2002;1212648.0
118;30-04-2002;1201735.0
119;01-05-2002;1200652.0
120;02-05-2002;1215747.0
121;03-05-2002;1231423.0
122;04-05-2002;
123;05-05-2002;
124;06-05-2002;1228836.0
125;07-05-2002;1253049.0
126;08-05-2002;1248984.0
127;09-05-2002;1243950.0
128;10-05-2002;1243520.0
129;11-05-2002;
130;12-05-2002;
131;13-05-2002;1253942.0
132;14-05-2002;1260039.0
133;15-05-2002;1256488.0
134;16-05-2002;1249879.0
135;17-05-2002;1269981.0
136;18-05-2002;
137;19-05-2002;
138;20-05-2002;1286649.0
139;21-05-2002;1310227.0
140;22-05-2002;1299351.0
141;23-05-2002;1299990.0
142;24-05-2002;1302524.0
143;25-05-2002;
144;26-05-2002;
145;27-05-2002;1289827.0
146;28-05-2002;1286777.0
147;29-05-2002;1290585.0
148;30-05-2002;1310230.0
149;31-05-2002;1323378.0
150;01-06-2002;
151;02-06-2002;
152;03-06-2002;1347622.0
153;04-06-2002;1355446.0
154;05-06-2002;1354212.0
155;06-06-2002;1342815.0
156;07-06-2002;1343264.0
157;08-06-2002;
158;09-06-2002;
159;10-06-2002;1365202.0
160;11-06-2002;1381883.0
161;12-06-2002;1404690.0
162;13-06-2002;1448997.0
163;14-06-2002;1451997.0
164;15-06-2002;
165;16-06-2002;
166;17-06-2002;1459921.0
167;18-06-2002;1490836.0
168;19-06-2002;1496708.0
169;20-06-2002;1493565.0
170;21-06-2002;1467006.0
171;22-06-2002;
172;23-06-2002;
173;24-06-2002;1510053.0
174;25-06-2002;1533772.0
175;26-06-2002;1525997.0
176;27-06-2002;1611491.0
177;28-06-2002;1576306.0
178;29-06-2002;
179;30-06-2002;
180;01-07-2002;1559263.0
181;02-07-2002;1559475.0
182;03-07-2002;1555510.0
183;04-07-2002;1599595.0
184;05-07-2002;1575681.0
185;06-07-2002;
186;07-07-2002;
187;08-07-2002;1569805.0
188;09-07-2002;1627772.0
189;10-07-2002;1648170.0
190;11-07-2002;1643322.0
191;12-07-2002;1619717.0
192;13-07-2002;
193;14-07-2002;
194;15-07-2002;1634318.0
195;16-07-2002;1673301.0
196;17-07-2002;1695198.0
