;Tarih;TP_DK_EUR_S_EF
0;02-01-2002;1289398.0
1;03-01-2002;1311421.0
2;04-01-2002;1297348.0
3;05-01-2002;
4;06-01-2002;
5;07-01-2002;1264683.0
6;08-01-2002;1244579.0
7;09-01-2002;1242665.0
8;10-01-2002;1251543.0
9;11-01-2002;1239925.0
10;12-01-2002;
11;13-01-2002;
12;14-01-2002;1233263.0
13;15-01-2002;1219181.0
14;16-01-2002;1222952.0
15;17-01-2002;1211028.0
16;18-01-2002;1206230.0
17;19-01-2002;
18;20-01-2002;
19;21-01-2002;1188311.0
20;22-01-2002;1174057.0
21;23-01-2002;1181219.0
22;24-01-2002;1197584.0
23;25-01-2002;1183953.0
24;26-01-2002;
25;27-01-2002;
26;28-01-2002;1154109.0
27;29-01-2002;1143737.0
28;30-01-2002;1140048.0
29;31-01-2002;1146170.0
30;01-02-2002;1133509.0
31;02-02-2002;
32;03-02-2002;
33;04-02-2002;1128688.0
34;05-02-2002;1137277.0
35;06-02-2002;1138464.0
36;07-02-2002;1153256.0
37;08-02-2002;1158055.0
38;09-02-2002;
39;10-02-2002;
40;11-02-2002;1203844.0
41;12-02-2002;1218017.0
42;13-02-2002;1207046.0
43;14-02-2002;1178065.0
44;15-02-2002;1172084.0
45;16-02-2002;
46;17-02-2002;
47;18-02-2002;1179474.0
48;19-02-2002;1182546.0
49;20-02-2002;1193825.0
50;21-02-2002;1203553.0
51;22-02-2002;
52;23-02-2002;
53;24-02-2002;
54;25-02-2002;
55;26-02-2002;1203553.0
56;27-02-2002;1212740.0
57;28-02-2002;1217648.0
58;01-03-2002;1205268.0
59;02-03-2002;
60;03-03-2002;
61;04-03-2002;1207878.0
62;05-03-2002;1197616.0
63;06-03-2002;1201716.0
64;07-03-2002;1203893.0
65;08-03-2002;1199897.0
66;09-03-2002;
67;10-03-2002;
68;11-03-2002;1198988.0
69;12-03-2002;1194188.0
70;13-03-2002;1194180.0
71;14-03-2002;1190868.0
72;15-03-2002;1195971.0
73;16-03-2002;
74;17-03-2002;
75;18-03-2002;1194450.0
76;19-03-2002;1190373.0
77;20-03-2002;1206149.0
78;21-03-2002;1190159.0
79;22-03-2002;1189616.0
80;23-03-2002;
81;24-03-2002;
82;25-03-2002;1179697.0
83;26-03-2002;1180831.0
84;27-03-2002;1175140.0
85;28-03-2002;1168492.0
86;29-03-2002;1169286.0
87;30-03-2002;
88;31-03-2002;
89;01-04-2002;1174345.0
90;02-04-2002;1181120.0
91;03-04-2002;1175608.0
92;04-04-2002;1175952.0
93;05-04-2002;1165077.0
94;06-04-2002;
95;07-04-2002;
96;08-04-2002;1154514.0
97;09-04-2002;1153583.0
98;10-04-2002;1150117.0
99;11-04-2002;1151754.0
100;12-04-2002;1142696.0
101;13-04-2002;
102;14-04-2002;
103;15-04-2002;1139972.0
104;16-04-2002;1151254.0
105;17-04-2002;1140713.0
106;18-04-2002;1159547.0
