;Tarih;TP_FG_F01
0;1982-1;373.3
1;1982-2;381.8
2;1982-3;390.5
3;1982-4;394.2
4;1982-5;395.4
5;1982-6;402.1
6;1982-7;406.2
7;1982-8;411.7
8;1982-9;424.5
9;1982-10;436.0
10;1982-11;446.1
11;1982-12;461.7
12;1983-1;481.1
13;1983-2;492.2
14;1983-3;503.2
15;1983-4;510.6
16;1983-5;514.0
17;1983-6;520.8
18;1983-7;526.2
19;1983-8;538.5
20;1983-9;555.9
21;1983-10;585.4
22;1983-11;607.3
23;1983-12;632.8
24;1984-1;654.6
25;1984-2;664.6
26;1984-3;685.2
27;1984-4;727.9
28;1984-5;763.2
29;1984-6;812.7
30;1984-7;820.2
31;1984-8;840.6
32;1984-9;858.0
33;1984-10;895.4
34;1984-11;929.9
35;1984-12;947.2
36;1985-1;1000.0
37;1985-2;1033.0
38;1985-3;1082.4
39;1985-4;1091.4
40;1985-5;1117.6
41;1985-6;1109.1
42;1985-7;1124.9
43;1985-8;1154.0
44;1985-9;1208.8
45;1985-10;1284.5
46;1985-11;1344.1
47;1985-12;1365.8
48;1986-1;1409.5
49;1986-2;1434.0
50;1986-3;1452.7
51;1986-4;1458.2
52;1986-5;1485.9
53;1986-6;1521.4
54;1986-7;1549.9
55;1986-8;1563.4
56;1986-9;1599.4
57;1986-10;1716.8
58;1986-11;1755.9
59;1986-12;1784.7
60;1987-1;1837.2
61;1987-2;1886.8
62;1987-3;1957.3
63;1987-4;1998.3
64;1987-5;2096.9
65;1987-6;2094.7
66;1987-7;2134.8
67;1987-8;2171.4
68;1987-9;2234.9
69;1987-10;2342.2
70;1987-11;2488.5
71;1987-12;2767.2
72;1988-1;2932.8
73;1988-2;3090.3
74;1988-3;3324.1
75;1988-4;3486.6
76;1988-5;3568.8
77;1988-6;3646.0
78;1988-7;3746.9
79;1988-8;3874.6
80;1988-9;4062.1
81;1988-10;4365.3
82;1988-11;4665.7
83;1988-12;4848.3
84;1989-1;5112.8
85;1989-2;5334.4
86;1989-3;5469.2
87;1989-4;5666.5
88;1989-5;5809.4
89;1989-6;6113.7
90;1989-7;6460.8
91;1989-8;6716.5
92;1989-9;7033.0
93;1989-10;7566.8
94;1989-11;7903.7
95;1989-12;8182.5
96;1990-1;8492.7
97;1990-2;8851.8
98;1990-3;9285.3
99;1990-4;9656.4
100;1990-5;9828.6
101;1990-6;10126.1
102;1990-7;10315.9
103;1990-8;10608.9
104;1990-9;11302.0
105;1990-10;12118.0
106;1990-11;12839.2
107;1990-12;13140.9
108;1991-1;13697.2
109;1991-2;14397.8
110;1991-3;14903.4
111;1991-4;15439.8
112;1991-5;16050.3
113;1991-6;16858.4
114;1991-7;17326.1
115;1991-8;18110.9
116;1991-9;18999.8
117;1991-10;20244.4
118;1991-11;21527.4
119;1991-12;22484.4
120;1992-1;24484.5
121;1992-2;25773.1
122;1992-3;26739.9
123;1992-4;27087.2
124;1992-5;27344.6
125;1992-6;28146.4
126;1992-7;29088.4
127;1992-8;30239.6
128;1992-9;32393.4
129;1992-10;35056.9
130;1992-11;36529.3
131;1992-12;37748.4
132;1993-1;39859.0
133;1993-2;41223.2
134;1993-3;42554.2
135;1993-4;43585.2
136;1993-5;45626.4
137;1993-6;47886.3
138;1993-7;51242.5
139;1993-8;52571.5
140;1993-9;54698.3
141;1993-10;58242.8
142;1993-11;62524.6
143;1993-12;64695.4
144;1994-1;66960.6
145;1994-2;70957.9
146;1994-3;74563.3
147;1994-4;94060.4
148;1994-5;102017.4
149;1994-6;105781.4
150;1994-7;109424.6
151;1994-8;111796.4
152;1994-9;118202.8
153;1994-10;129547.5
154;1994-11;139730.9
155;1994-12;150181.2
156;1995-1;160157.9
157;1995-2;169734.2
158;1995-3;176157.0
159;1995-4;187480.3
160;1995-5;193123.4
161;1995-6;195964.4
162;1995-7;200940.5
163;1995-8;208885.2
164;1995-9;223951.8
165;1995-10;241048.9
166;1995-11;254771.0
167;1995-12;263667.2
