;Tarih;TP_FG_J04
0;2003-1;96.79
1;2003-2;97.65
2;2003-3;98.29
3;2003-4;98.57
4;2003-5;99.69
5;2003-6;99.74
6;2003-7;100.24
7;2003-8;100.53
8;2003-9;101.36
9;2003-10;101.89
10;2003-11;102.37
11;2003-12;102.89
12;2004-1;103.59
13;2004-2;104.24
14;2004-3;104.64
15;2004-4;104.94
16;2004-5;105.82
17;2004-6;106.9
18;2004-7;108.66
19;2004-8;110.12
20;2004-9;111.17
21;2004-10;112.69
22;2004-11;113.79
23;2004-12;114.74
24;2005-1;115.51
25;2005-2;116.11
26;2005-3;117.37
27;2005-4;117.82
28;2005-5;117.47
29;2005-6;118.14
30;2005-7;119.17
31;2005-8;120.25
32;2005-9;122.41
33;2005-10;124.21
34;2005-11;125.51
35;2005-12;126.06
36;2006-1;127.66
37;2006-2;129.22
38;2006-3;130.0
39;2006-4;130.27
40;2006-5;130.92
41;2006-6;133.77
42;2006-7;136.12
43;2006-8;137.72
44;2006-9;139.12
45;2006-10;140.91
46;2006-11;142.74
47;2006-12;143.76
48;2007-1;145.46
49;2007-2;146.18
50;2007-3;146.77
51;2007-4;147.17
52;2007-5;147.72
53;2007-6;148.3
54;2007-7;149.12
55;2007-8;150.17
56;2007-9;151.62
57;2007-10;152.6
58;2007-11;158.72
59;2007-12;160.26
60;2008-1;167.09
61;2008-2;167.74
62;2008-3;168.36
63;2008-4;169.57
64;2008-5;170.26
65;2008-6;172.48
66;2008-7;181.69
67;2008-8;185.55
68;2008-9;186.84
69;2008-10;193.93
70;2008-11;197.97
71;2008-12;196.92
72;2009-1;198.29
73;2009-2;196.32
74;2009-3;196.08
75;2009-4;194.05
76;2009-5;190.34
77;2009-6;191.67
78;2009-7;192.3
79;2009-8;193.73
80;2009-9;194.96
81;2009-10;199.1
82;2009-11;200.48
83;2009-12;201.47
84;2010-1;204.52
85;2010-2;205.32
86;2010-3;205.73
87;2010-4;205.97
88;2010-5;206.77
89;2010-6;207.72
90;2010-7;208.3
91;2010-8;208.61
92;2010-9;209.3
93;2010-10;209.69
94;2010-11;210.91
95;2010-12;213.37
96;2011-1;214.61
97;2011-2;214.32
98;2011-3;215.14
99;2011-4;215.98
100;2011-5;217.15
101;2011-6;217.67
102;2011-7;217.79
103;2011-8;218.96
104;2011-9;220.34
105;2011-10;228.25
106;2011-11;229.64
107;2011-12;230.86
108;2012-1;233.9
109;2012-2;235.3
110;2012-3;236.84
111;2012-4;244.29
112;2012-5;244.39
113;2012-6;244.72
114;2012-7;243.22
115;2012-8;244.88
116;2012-9;246.9
117;2012-10;255.07
118;2012-11;256.49
119;2012-12;257.11
120;2013-1;258.91
121;2013-2;259.55
122;2013-3;260.14
123;2013-4;260.56
124;2013-5;260.46
125;2013-6;261.19
126;2013-7;262.35
127;2013-8;263.24
128;2013-9;265.05
129;2013-10;266.0
130;2013-11;267.16
131;2013-12;269.55
132;2014-1;270.87
133;2014-2;272.11
134;2014-3;272.73
135;2014-4;273.39
136;2014-5;274.37
137;2014-6;275.02
138;2014-7;276.55
139;2014-8;277.42
140;2014-9;278.79
141;2014-10;286.99
142;2014-11;287.58
143;2014-12;287.95
144;2015-1;291.19
145;2015-2;292.52
146;2015-3;294.63
147;2015-4;295.84
148;2015-5;297.19
149;2015-6;298.09
150;2015-7;299.08
151;2015-8;300.13
152;2015-9;301.88
153;2015-10;304.33
154;2015-11;305.97
155;2015-12;307.28
156;2016-1;312.53
157;2016-2;313.65
158;2016-3;314.16
159;2016-4;315.33
160;2016-5;316.53
161;2016-6;318.01
162;2016-7;319.08
163;2016-8;320.59
164;2016-9;321.92
165;2016-10;321.16
166;2016-11;323.94
167;2016-12;327.01
168;2017-1;332.97
169;2017-2;336.91
170;2017-3;338.37
171;2017-4;339.09
172;2017-5;340.46
173;2017-6;341.51
174;2017-7;343.02
175;2017-8;345.46
176;2017-9;348.08
177;2017-10;351.34
178;2017-11;355.72
179;2017-12;358.47
180;2018-1;366.86
181;2018-2;368.78
182;2018-3;370.39
183;2018-4;375.15
184;2018-5;378.73
185;2018-6;382.64
186;2018-7;386.86
187;2018-8;401.77
188;2018-9;424.11
189;2018-10;441.7
190;2018-11;443.79
191;2018-12;443.54
192;2019-1;429.81
193;2019-2;429.84
194;2019-3;430.98
195;2019-4;432.57
196;2019-5;434.32
197;2019-6;435.43
198;2019-7;448.94
199;2019-8;458.1
200;2019-9;467.95
201;2019-10;484.55
202;2019-11;486.29
203;2019-12;487.44
204;2020-1;493.27
205;2020-2;495.65
206;2020-3;496.96
207;2020-4;495.39
208;2020-5;497.06
209;2020-6;500.54
210;2020-7;505.21
211;2020-8;510.03
212;2020-9;514.76
213;2020-10;525.13
214;2020-11;530.64
215;2020-12;534.18
216;2021-1;550.29
217;2021-2;553.6
218;2021-3;557.45
219;2021-4;562.76
220;2021-5;567.03
221;2021-6;573.7
222;2021-7;602.77
223;2021-8;608.49
224;2021-9;622.72
225;2021-10;636.97
226;2021-11;656.84
227;2021-12;686.8
228;2022-1;816.66
229;2022-2;828.85
230;2022-3;844.12
231;2022-4;906.81
232;2022-5;927.17
233;2022-6;1004.5
234;2022-7;1024.47
235;2022-8;1045.5
236;2022-9;1149.98
237;2022-10;1179.49
238;2022-11;1201.03
239;2022-12;1235.1
240;2023-1;1275.95
241;2023-2;1292.22
242;2023-3;1317.8
243;2023-4;1298.41
244;2023-5;1119.36
245;2023-6;1152.79
246;2023-7;1222.27
247;2023-8;1306.51
248;2023-9;1381.78
249;2023-10;1485.92
250;2023-11;1651.9
251;2023-12;1733.98
252;2024-1;1862.79
