;Tarih;TP_FG_TF07
0;2003-1;98.4215
1;2003-2;100.2219
2;2003-3;101.9181
3;2003-4;100.6101
4;2003-5;98.6305
5;2003-6;98.4991
6;2003-7;98.7156
7;2003-8;99.523
8;2003-9;99.1458
9;2003-10;100.1756
10;2003-11;102.0833
11;2003-12;102.0556
12;2004-1;104.1822
13;2004-2;103.9742
14;2004-3;104.8038
15;2004-4;106.308
16;2004-5;111.5636
17;2004-6;113.1695
18;2004-7;113.5214
19;2004-8;115.5927
20;2004-9;116.6495
21;2004-10;119.8254
22;2004-11;119.0328
23;2004-12;117.3077
24;2005-1;116.3749
25;2005-2;116.5762
26;2005-3;118.2
27;2005-4;120.46
28;2005-5;120.12
29;2005-6;120.53
30;2005-7;120.19
31;2005-8;121.93
32;2005-9;122.64
33;2005-10;123.1
34;2005-11;120.96
35;2005-12;120.32
36;2006-1;122.69
37;2006-2;122.92
38;2006-3;123.41
39;2006-4;125.69
40;2006-5;129.19
41;2006-6;135.75
42;2006-7;137.82
43;2006-8;136.97
44;2006-9;136.39
45;2006-10;137.27
46;2006-11;136.81
47;2006-12;136.94
48;2007-1;136.31
49;2007-2;137.28
50;2007-3;138.86
51;2007-4;140.01
52;2007-5;139.77
53;2007-6;139.23
54;2007-7;139.22
55;2007-8;140.46
56;2007-9;141.21
57;2007-10;140.54
58;2007-11;142.03
59;2007-12;142.11
60;2008-1;142.3
61;2008-2;146.13
62;2008-3;151.61
63;2008-4;159.04
64;2008-5;161.89
65;2008-6;163.61
66;2008-7;166.13
67;2008-8;162.12
68;2008-9;160.9
69;2008-10;162.12
70;2008-11;162.42
71;2008-12;156.42
72;2009-1;156.81
73;2009-2;158.49
74;2009-3;158.95
75;2009-4;159.08
76;2009-5;157.66
77;2009-6;158.87
78;2009-7;158.56
79;2009-8;159.36
80;2009-9;160.39
81;2009-10;160.55
82;2009-11;162.31
83;2009-12;162.9
84;2010-1;163.19
85;2010-2;165.08
86;2010-3;167.99
87;2010-4;169.38
88;2010-5;169.24
89;2010-6;168.47
90;2010-7;168.96
91;2010-8;170.04
92;2010-9;170.93
93;2010-10;170.94
94;2010-11;172.01
95;2010-12;175.45
96;2011-1;179.39
97;2011-2;182.31
98;2011-3;184.76
99;2011-4;184.77
100;2011-5;185.89
101;2011-6;187.16
102;2011-7;189.45
103;2011-8;193.69
104;2011-9;196.96
105;2011-10;199.24
106;2011-11;198.74
107;2011-12;199.87
108;2012-1;200.39
109;2012-2;199.39
110;2012-3;200.76
111;2012-4;201.25
112;2012-5;201.0
113;2012-6;200.02
114;2012-7;199.15
115;2012-8;200.07
116;2012-9;201.98
117;2012-10;202.4
118;2012-11;207.66
119;2012-12;207.52
120;2013-1;208.13
121;2013-2;206.8
122;2013-3;208.79
123;2013-4;208.42
124;2013-5;208.6
125;2013-6;210.84
126;2013-7;213.25
127;2013-8;215.25
128;2013-9;218.66
129;2013-10;218.65
130;2013-11;219.9
131;2013-12;221.74
