;Tarih;TP_ISGUCARSIV_G4
0;2005-1;2150.0
1;2005-2;2156.0
2;2005-3;2083.0
3;2005-4;2005.0
4;2005-5;1946.0
5;2005-6;1952.0
6;2005-7;1960.0
7;2005-8;1992.0
8;2005-9;2024.0
9;2005-10;2057.0
10;2005-11;2138.0
11;2005-12;2213.0
12;2006-1;2258.0
13;2006-2;2270.0
14;2006-3;2105.0
15;2006-4;1985.0
16;2006-5;1773.0
17;2006-6;1823.0
18;2006-7;1850.0
19;2006-8;1935.0
20;2006-9;1891.0
21;2006-10;1878.0
22;2006-11;1940.0
23;2006-12;2088.0
24;2007-1;2137.0
25;2007-2;2201.0
26;2007-3;2074.0
27;2007-4;2006.0
28;2007-5;1885.0
29;2007-6;1909.0
30;2007-7;1929.0
31;2007-8;2003.0
32;2007-9;2026.0
33;2007-10;2061.0
34;2007-11;2085.0
35;2007-12;2150.0
36;2008-1;2250.0
37;2008-2;2350.0
38;2008-3;2226.0
39;2008-4;2053.0
40;2008-5;1950.0
41;2008-6;2039.0
42;2008-7;2161.0
43;2008-8;2201.0
44;2008-9;2298.0
45;2008-10;2404.0
46;2008-11;2677.0
47;2008-12;2902.0
48;2009-1;3188.0
49;2009-2;3331.0
50;2009-3;3359.0
51;2009-4;3219.0
52;2009-5;3029.0
53;2009-6;2945.0
54;2009-7;2954.0
55;2009-8;3087.0
56;2009-9;3043.0
57;2009-10;2968.0
58;2009-11;2932.0
59;2009-12;3015.0
60;2010-1;3227.0
61;2010-2;3204.0
62;2010-3;3100.0
63;2010-4;2771.0
64;2010-5;2567.0
65;2010-6;2485.0
66;2010-7;2493.0
67;2010-8;2661.0
68;2010-9;2636.0
69;2010-10;2598.0
70;2010-11;2514.0
71;2010-12;2613.0
72;2011-1;2718.0
73;2011-2;2642.0
74;2011-3;2530.0
75;2011-4;2358.0
76;2011-5;2288.0
77;2011-6;2272.0
78;2011-7;2251.0
79;2011-8;2240.0
80;2011-9;2127.0
81;2011-10;2157.0
82;2011-11;2142.0
83;2011-12;2266.0
84;2012-1;2348.0
85;2012-2;2402.0
86;2012-3;2305.0
87;2012-4;2123.0
88;2012-5;1988.0
89;2012-6;1935.0
90;2012-7;2020.0
91;2012-8;2123.0
92;2012-9;2213.0
93;2012-10;2221.0
94;2012-11;2304.0
95;2012-12;2458.0
96;2013-1;2552.0
97;2013-2;2539.0
98;2013-3;2496.0
99;2013-4;2366.0
100;2013-5;2263.0
101;2013-6;2240.0
102;2013-7;2370.0
103;2013-8;2482.0
104;2013-9;2527.0
105;2013-10;2470.0
106;2013-11;2497.0
107;2013-12;2582.0
108;2014-1;2805.0
109;2014-2;2825.0
110;2014-3;2747.0
111;2014-4;2579.0
112;2014-5;2551.0
113;2014-6;2654.0
114;2014-7;2867.0
115;2014-8;2944.0
116;2014-9;3064.0
117;2014-10;3043.0
118;2014-11;3096.0
119;2014-12;3145.0
120;2015-1;3259.0
121;2015-2;3226.0
122;2015-3;3069.0
123;2015-4;2821.0
124;2015-5;2789.0
125;2015-6;2880.0
126;2015-7;2970.0
127;2015-8;3058.0
128;2015-9;3103.0
129;2015-10;3147.0
130;2015-11;3125.0
131;2015-12;3204.0
132;2016-1;3290.0
133;2016-2;3224.0
134;2016-3;3023.0
135;2016-4;2824.0
136;2016-5;2895.0
137;2016-6;3127.0
138;2016-7;3324.0
139;2016-8;3493.0
140;2016-9;3523.0
141;2016-10;3647.0
142;2016-11;3715.0
143;2016-12;3872.0
144;2017-1;3985.0
145;2017-2;3900.0
146;2017-3;3642.0
147;2017-4;3287.0
148;2017-5;3225.0
149;2017-6;3251.0
150;2017-7;3443.0
151;2017-8;3404.0
152;2017-9;3419.0
153;2017-10;3287.0
154;2017-11;3275.0
155;2017-12;3291.0
156;2018-1;3409.0
157;2018-2;3354.0
158;2018-3;3210.0
159;2018-4;3086.0
160;2018-5;3136.0
161;2018-6;3315.0
162;2018-7;3531.0
163;2018-8;3670.0
164;2018-9;3749.0
165;2018-10;3788.0
166;2018-11;3981.0
167;2018-12;4302.0
168;2019-1;4668.0
169;2019-2;4730.0
170;2019-3;4544.0
171;2019-4;4202.0
172;2019-5;4157.0
173;2019-6;4253.0
174;2019-7;4596.0
175;2019-8;4650.0
176;2019-9;4566.0
177;2019-10;4396.0
178;2019-11;4308.0
179;2019-12;4394.0
180;2020-1;4362.0
181;2020-2;4228.0
182;2020-3;3971.0
183;2020-4;3775.0
184;2020-5;3826.0
185;2020-6;4101.0
186;2020-7;4227.0
187;2020-8;4194.0
188;2020-9;4016.0
189;2020-10;4005.0
190;2020-11;4005.0
