;Tarih;TP_ISGUCARSIV_G9
0;2005-1;38.6
1;2005-2;38.6
2;2005-3;39.2
3;2005-4;40.6
4;2005-5;41.7
5;2005-6;42.1
6;2005-7;42.4
7;2005-8;41.8
8;2005-9;41.3
9;2005-10;40.7
10;2005-11;40.3
11;2005-12;39.3
12;2006-1;38.4
13;2006-2;37.8
14;2006-3;38.9
15;2006-4;40.2
16;2006-5;41.4
17;2006-6;41.8
18;2006-7;41.9
19;2006-8;41.9
20;2006-9;41.6
21;2006-10;41.1
22;2006-11;40.7
23;2006-12;39.8
24;2007-1;39.1
25;2007-2;38.5
26;2007-3;39.4
27;2007-4;40.4
28;2007-5;41.4
29;2007-6;41.8
30;2007-7;42.0
31;2007-8;41.7
32;2007-9;41.3
33;2007-10;40.3
34;2007-11;39.5
35;2007-12;38.8
36;2008-1;38.2
37;2008-2;38.2
38;2008-3;39.1
39;2008-4;40.6
40;2008-5;41.7
41;2008-6;42.1
42;2008-7;42.2
43;2008-8;42.0
44;2008-9;41.4
45;2008-10;40.9
46;2008-11;39.8
47;2008-12;38.8
48;2009-1;37.7
49;2009-2;37.3
50;2009-3;37.9
51;2009-4;38.8
52;2009-5;40.2
53;2009-6;41.0
54;2009-7;41.4
55;2009-8;41.2
56;2009-9;41.0
57;2009-10;40.9
58;2009-11;40.4
59;2009-12;39.8
60;2010-1;39.2
61;2010-2;39.3
62;2010-3;40.0
63;2010-4;41.3
64;2010-5;42.2
65;2010-6;42.9
66;2010-7;42.8
67;2010-8;42.3
68;2010-9;41.8
69;2010-10;41.7
70;2010-11;41.5
71;2010-12;41.1
72;2011-1;40.7
73;2011-2;41.1
74;2011-3;41.9
75;2011-4;43.0
76;2011-5;43.8
77;2011-6;44.5
78;2011-7;44.5
79;2011-8;44.4
80;2011-9;44.1
81;2011-10;43.5
82;2011-11;43.1
83;2011-12;42.1
84;2012-1;41.8
85;2012-2;41.3
86;2012-3;42.0
87;2012-4;43.3
88;2012-5;44.4
89;2012-6;44.8
90;2012-7;44.6
91;2012-8;44.4
92;2012-9;44.5
93;2012-10;44.5
94;2012-11;44.1
95;2012-12;43.3
96;2013-1;42.7
97;2013-2;42.7
98;2013-3;43.3
99;2013-4;44.4
100;2013-5;45.1
101;2013-6;45.3
102;2013-7;44.9
103;2013-8;44.6
104;2013-9;44.3
105;2013-10;44.0
106;2013-11;43.4
107;2013-12;43.1
108;2014-1;43.2
109;2014-2;44.1
110;2014-3;45.1
111;2014-4;46.1
112;2014-5;46.7
113;2014-6;46.7
114;2014-7;46.3
115;2014-8;46.1
116;2014-9;45.8
117;2014-10;45.7
118;2014-11;45.1
119;2014-12;44.7
120;2015-1;44.3
121;2015-2;44.4
122;2015-3;45.0
123;2015-4;46.2
124;2015-5;46.9
125;2015-6;47.1
126;2015-7;47.2
127;2015-8;46.8
128;2015-9;46.8
129;2015-10;46.2
130;2015-11;45.8
131;2015-12;45.4
132;2016-1;45.0
133;2016-2;45.3
134;2016-3;46.1
135;2016-4;47.2
136;2016-5;47.5
137;2016-6;47.1
138;2016-7;47.0
139;2016-8;46.7
140;2016-9;46.8
141;2016-10;46.2
142;2016-11;45.8
143;2016-12;45.1
144;2017-1;44.8
145;2017-2;45.3
146;2017-3;46.1
147;2017-4;47.2
148;2017-5;47.7
149;2017-6;48.0
150;2017-7;48.0
151;2017-8;48.0
152;2017-9;47.9
153;2017-10;47.6
154;2017-11;47.3
155;2017-12;46.9
156;2018-1;46.4
157;2018-2;46.62
158;2018-3;47.13
159;2018-4;47.9
160;2018-5;48.1
161;2018-6;48.35
162;2018-7;48.22
163;2018-8;48.27
164;2018-9;47.8
165;2018-10;47.5
166;2018-11;46.5
167;2018-12;45.4
168;2019-1;44.5
169;2019-2;44.8
170;2019-3;45.4
171;2019-4;46.0
172;2019-5;46.1
173;2019-6;46.4
174;2019-7;46.4
175;2019-8;46.3
176;2019-9;46.1
177;2019-10;45.9
178;2019-11;45.6
179;2019-12;44.7
180;2020-1;44.0
181;2020-2;43.1
182;2020-3;42.0
183;2020-4;41.1
184;2020-5;41.4
185;2020-6;42.4
186;2020-7;43.5
187;2020-8;43.9
188;2020-9;44.1
189;2020-10;43.6
190;2020-11;42.9
