;Tarih;TP_MK_CUM_YTL
0;1950-12;3.5e-05
1;1951-1;
2;1951-2;
3;1951-3;
4;1951-4;
5;1951-5;
6;1951-6;
7;1951-7;
8;1951-8;
9;1951-9;
10;1951-10;
11;1951-11;
12;1951-12;3.4e-05
13;1952-1;
14;1952-2;
15;1952-3;
16;1952-4;
17;1952-5;
18;1952-6;
19;1952-7;
20;1952-8;
21;1952-9;
22;1952-10;
23;1952-11;
24;1952-12;3.8e-05
25;1953-1;
26;1953-2;
27;1953-3;
28;1953-4;
29;1953-5;
30;1953-6;
31;1953-7;
32;1953-8;
33;1953-9;
34;1953-10;
35;1953-11;
36;1953-12;4.4e-05
37;1954-1;
38;1954-2;
39;1954-3;
40;1954-4;
41;1954-5;
42;1954-6;
43;1954-7;
44;1954-8;
45;1954-9;
46;1954-10;
47;1954-11;
48;1954-12;4.9e-05
49;1955-1;
50;1955-2;
51;1955-3;
52;1955-4;
53;1955-5;
54;1955-6;
55;1955-7;
56;1955-8;
57;1955-9;
58;1955-10;
59;1955-11;
60;1955-12;6.6e-05
61;1956-1;
62;1956-2;
63;1956-3;
64;1956-4;
65;1956-5;
66;1956-6;
67;1956-7;
68;1956-8;
69;1956-9;
70;1956-10;
71;1956-11;
72;1956-12;8.4e-05
73;1957-1;
74;1957-2;
75;1957-3;
76;1957-4;
77;1957-5;
78;1957-6;
79;1957-7;
80;1957-8;
81;1957-9;
82;1957-10;
83;1957-11;
84;1957-12;0.000109
85;1958-1;
86;1958-2;
87;1958-3;
88;1958-4;
89;1958-5;
90;1958-6;
91;1958-7;
92;1958-8;
93;1958-9;
94;1958-10;
95;1958-11;
96;1958-12;0.000129
97;1959-1;
98;1959-2;
99;1959-3;
100;1959-4;
101;1959-5;
102;1959-6;
103;1959-7;
104;1959-8;
105;1959-9;
106;1959-10;
107;1959-11;
108;1959-12;0.00011
109;1960-1;
110;1960-2;
111;1960-3;
112;1960-4;
113;1960-5;
114;1960-6;
115;1960-7;
116;1960-8;
117;1960-9;
118;1960-10;
119;1960-11;
120;1960-12;0.000108
121;1961-1;
122;1961-2;
123;1961-3;
124;1961-4;
125;1961-5;
126;1961-6;
127;1961-7;
128;1961-8;
129;1961-9;
130;1961-10;
131;1961-11;
132;1961-12;0.000106
133;1962-1;
134;1962-2;
135;1962-3;
136;1962-4;
137;1962-5;
138;1962-6;
139;1962-7;
140;1962-8;
141;1962-9;
142;1962-10;
143;1962-11;
144;1962-12;0.0001
145;1963-1;
146;1963-2;
147;1963-3;
148;1963-4;
149;1963-5;
150;1963-6;
151;1963-7;
152;1963-8;
153;1963-9;
154;1963-10;
155;1963-11;
156;1963-12;9.4e-05
157;1964-1;
158;1964-2;
159;1964-3;
160;1964-4;
161;1964-5;
162;1964-6;
163;1964-7;
164;1964-8;
165;1964-9;
166;1964-10;
167;1964-11;
168;1964-12;9.4e-05
169;1965-1;
170;1965-2;
171;1965-3;
172;1965-4;
173;1965-5;
174;1965-6;
175;1965-7;
176;1965-8;
177;1965-9;
178;1965-10;
179;1965-11;
180;1965-12;9.4e-05
181;1966-1;
182;1966-2;
183;1966-3;
184;1966-4;
185;1966-5;
186;1966-6;
187;1966-7;
188;1966-8;
189;1966-9;
190;1966-10;
191;1966-11;
192;1966-12;9.6e-05
193;1967-1;
194;1967-2;
195;1967-3;
196;1967-4;
197;1967-5;
198;1967-6;
199;1967-7;
200;1967-8;
201;1967-9;
202;1967-10;
203;1967-11;
204;1967-12;0.000101
205;1968-1;
206;1968-2;
207;1968-3;
208;1968-4;
209;1968-5;
210;1968-6;
211;1968-7;
212;1968-8;
213;1968-9;
214;1968-10;
215;1968-11;
216;1968-12;0.000114
217;1969-1;
218;1969-2;
219;1969-3;
220;1969-4;
221;1969-5;
222;1969-6;
223;1969-7;
224;1969-8;
225;1969-9;
226;1969-10;
227;1969-11;
228;1969-12;0.00013
229;1970-1;
230;1970-2;
231;1970-3;
232;1970-4;
233;1970-5;
234;1970-6;
235;1970-7;
236;1970-8;
237;1970-9;
238;1970-10;
239;1970-11;
240;1970-12;0.000117
241;1971-1;
242;1971-2;
243;1971-3;
244;1971-4;
245;1971-5;
246;1971-6;
247;1971-7;
248;1971-8;
249;1971-9;
250;1971-10;
251;1971-11;
252;1971-12;0.00014
253;1972-1;
254;1972-2;
255;1972-3;
256;1972-4;
257;1972-5;
258;1972-6;
259;1972-7;
260;1972-8;
261;1972-9;
262;1972-10;
263;1972-11;
264;1972-12;0.000183
265;1973-1;
266;1973-2;
267;1973-3;
268;1973-4;
269;1973-5;
270;1973-6;
271;1973-7;
272;1973-8;
273;1973-9;
274;1973-10;
275;1973-11;
276;1973-12;0.000299
277;1974-1;
278;1974-2;
279;1974-3;
280;1974-4;
281;1974-5;
282;1974-6;
283;1974-7;
284;1974-8;
285;1974-9;
286;1974-10;
287;1974-11;
288;1974-12;0.000509
289;1975-1;
290;1975-2;
291;1975-3;
292;1975-4;
293;1975-5;
294;1975-6;
295;1975-7;
296;1975-8;
297;1975-9;
298;1975-10;
299;1975-11;
300;1975-12;0.000597
301;1976-1;
302;1976-2;
303;1976-3;
304;1976-4;
305;1976-5;
306;1976-6;
307;1976-7;
308;1976-8;
309;1976-9;
310;1976-10;
311;1976-11;
312;1976-12;0.000518
313;1977-1;
314;1977-2;
315;1977-3;
316;1977-4;
317;1977-5;
318;1977-6;
319;1977-7;
320;1977-8;
321;1977-9;
322;1977-10;
323;1977-11;
324;1977-12;0.000705
325;1978-1;0.001003
326;1978-2;0.001174
327;1978-3;0.001234
328;1978-4;0.001252
329;1978-5;0.001239
330;1978-6;0.001191
331;1978-7;0.001195
332;1978-8;0.001291
333;1978-9;0.001373
334;1978-10;0.00157
335;1978-11;0.001725
336;1978-12;0.002228
337;1979-1;0.002831
338;1979-2;0.003115
339;1979-3;0.003175
340;1979-4;0.002988
341;1979-5;0.003044
342;1979-6;0.003365
343;1979-7;0.003352
344;1979-8;0.003344
345;1979-9;0.003899
346;1979-10;0.004589
347;1979-11;0.004611
348;1979-12;0.005936
349;1980-1;0.00826
350;1980-2;0.00995
351;1980-3;0.009279
352;1980-4;0.009162
353;1980-5;0.00885
354;1980-6;0.009478
355;1980-7;0.010495
356;1980-8;0.010844
357;1980-9;0.012161
358;1980-10;0.012553
359;1980-11;0.012728
360;1980-12;0.012634
361;1981-1;0.012949
362;1981-2;0.01205
363;1981-3;0.011277
364;1981-4;0.010948
365;1981-5;0.010453
366;1981-6;0.010441
