;Tarih;TP_MK_KUL_YTL
0;1940-12;3e-06
1;1941-1;
2;1941-2;
3;1941-3;
4;1941-4;
5;1941-5;
6;1941-6;
7;1941-7;
8;1941-8;
9;1941-9;
10;1941-10;
11;1941-11;
12;1941-12;3e-06
13;1942-1;
14;1942-2;
15;1942-3;
16;1942-4;
17;1942-5;
18;1942-6;
19;1942-7;
20;1942-8;
21;1942-9;
22;1942-10;
23;1942-11;
24;1942-12;5e-06
25;1943-1;
26;1943-2;
27;1943-3;
28;1943-4;
29;1943-5;
30;1943-6;
31;1943-7;
32;1943-8;
33;1943-9;
34;1943-10;
35;1943-11;
36;1943-12;4e-06
37;1944-1;
38;1944-2;
39;1944-3;
40;1944-4;
41;1944-5;
42;1944-6;
43;1944-7;
44;1944-8;
45;1944-9;
46;1944-10;
47;1944-11;
48;1944-12;5e-06
49;1945-1;
50;1945-2;
51;1945-3;
52;1945-4;
53;1945-5;
54;1945-6;
55;1945-7;
56;1945-8;
57;1945-9;
58;1945-10;
59;1945-11;
60;1945-12;5e-06
61;1946-1;
62;1946-2;
63;1946-3;
64;1946-4;
65;1946-5;
66;1946-6;
67;1946-7;
68;1946-8;
69;1946-9;
70;1946-10;
71;1946-11;
72;1946-12;5e-06
73;1947-1;
74;1947-2;
75;1947-3;
76;1947-4;
77;1947-5;
78;1947-6;
79;1947-7;
80;1947-8;
81;1947-9;
82;1947-10;
83;1947-11;
84;1947-12;5e-06
85;1948-1;
86;1948-2;
87;1948-3;
88;1948-4;
89;1948-5;
90;1948-6;
91;1948-7;
92;1948-8;
93;1948-9;
94;1948-10;
95;1948-11;
96;1948-12;6e-06
97;1949-1;
98;1949-2;
99;1949-3;
100;1949-4;
101;1949-5;
102;1949-6;
103;1949-7;
104;1949-8;
105;1949-9;
106;1949-10;
107;1949-11;
108;1949-12;6e-06
109;1950-1;
110;1950-2;
111;1950-3;
112;1950-4;
113;1950-5;
114;1950-6;
115;1950-7;
116;1950-8;
117;1950-9;
118;1950-10;
119;1950-11;
120;1950-12;5e-06
121;1951-1;
122;1951-2;
123;1951-3;
124;1951-4;
125;1951-5;
126;1951-6;
127;1951-7;
128;1951-8;
129;1951-9;
130;1951-10;
131;1951-11;
132;1951-12;5e-06
133;1952-1;
134;1952-2;
135;1952-3;
136;1952-4;
137;1952-5;
138;1952-6;
139;1952-7;
140;1952-8;
141;1952-9;
142;1952-10;
143;1952-11;
144;1952-12;6e-06
145;1953-1;
146;1953-2;
147;1953-3;
148;1953-4;
149;1953-5;
150;1953-6;
151;1953-7;
152;1953-8;
153;1953-9;
154;1953-10;
155;1953-11;
156;1953-12;6e-06
157;1954-1;
158;1954-2;
159;1954-3;
160;1954-4;
161;1954-5;
162;1954-6;
163;1954-7;
164;1954-8;
165;1954-9;
166;1954-10;
167;1954-11;
168;1954-12;7e-06
169;1955-1;
170;1955-2;
171;1955-3;
172;1955-4;
173;1955-5;
174;1955-6;
175;1955-7;
176;1955-8;
177;1955-9;
178;1955-10;
179;1955-11;
180;1955-12;1e-05
181;1956-1;
182;1956-2;
183;1956-3;
184;1956-4;
185;1956-5;
186;1956-6;
187;1956-7;
188;1956-8;
189;1956-9;
190;1956-10;
191;1956-11;
192;1956-12;1.2e-05
193;1957-1;
194;1957-2;
195;1957-3;
196;1957-4;
197;1957-5;
198;1957-6;
199;1957-7;
200;1957-8;
201;1957-9;
202;1957-10;
203;1957-11;
204;1957-12;1.6e-05
205;1958-1;
206;1958-2;
207;1958-3;
208;1958-4;
209;1958-5;
210;1958-6;
211;1958-7;
212;1958-8;
213;1958-9;
214;1958-10;
215;1958-11;
216;1958-12;1.9e-05
217;1959-1;
218;1959-2;
219;1959-3;
220;1959-4;
221;1959-5;
222;1959-6;
223;1959-7;
224;1959-8;
225;1959-9;
226;1959-10;
227;1959-11;
228;1959-12;1.7e-05
229;1960-1;
230;1960-2;
231;1960-3;
232;1960-4;
233;1960-5;
234;1960-6;
235;1960-7;
236;1960-8;
237;1960-9;
238;1960-10;
239;1960-11;
240;1960-12;1.6e-05
241;1961-1;
242;1961-2;
243;1961-3;
244;1961-4;
245;1961-5;
246;1961-6;
247;1961-7;
248;1961-8;
249;1961-9;
250;1961-10;
251;1961-11;
252;1961-12;1.6e-05
253;1962-1;
254;1962-2;
255;1962-3;
256;1962-4;
257;1962-5;
258;1962-6;
259;1962-7;
260;1962-8;
261;1962-9;
262;1962-10;
263;1962-11;
264;1962-12;1.5e-05
265;1963-1;
266;1963-2;
267;1963-3;
268;1963-4;
