;Tarih;TP_MK_RES_YTL
0;1923-12;7e-06
1;1924-1;
2;1924-2;
3;1924-3;
4;1924-4;
5;1924-5;
6;1924-6;
7;1924-7;
8;1924-8;
9;1924-9;
10;1924-10;
11;1924-11;
12;1924-12;8e-06
13;1925-1;
14;1925-2;
15;1925-3;
16;1925-4;
17;1925-5;
18;1925-6;
19;1925-7;
20;1925-8;
21;1925-9;
22;1925-10;
23;1925-11;
24;1925-12;8e-06
25;1926-1;
26;1926-2;
27;1926-3;
28;1926-4;
29;1926-5;
30;1926-6;
31;1926-7;
32;1926-8;
33;1926-9;
34;1926-10;
35;1926-11;
36;1926-12;8e-06
37;1927-1;
38;1927-2;
39;1927-3;
40;1927-4;
41;1927-5;
42;1927-6;
43;1927-7;
44;1927-8;
45;1927-9;
46;1927-10;
47;1927-11;
48;1927-12;8e-06
49;1928-1;
50;1928-2;
51;1928-3;
52;1928-4;
53;1928-5;
54;1928-6;
55;1928-7;
56;1928-8;
57;1928-9;
58;1928-10;
59;1928-11;
60;1928-12;8e-06
61;1929-1;
62;1929-2;
63;1929-3;
64;1929-4;
65;1929-5;
66;1929-6;
67;1929-7;
68;1929-8;
69;1929-9;
70;1929-10;
71;1929-11;
72;1929-12;9e-06
73;1930-1;
74;1930-2;
75;1930-3;
76;1930-4;
77;1930-5;
78;1930-6;
79;1930-7;
80;1930-8;
81;1930-9;
82;1930-10;
83;1930-11;
84;1930-12;9e-06
85;1931-1;
86;1931-2;
87;1931-3;
88;1931-4;
89;1931-5;
90;1931-6;
91;1931-7;
92;1931-8;
93;1931-9;
94;1931-10;
95;1931-11;
96;1931-12;9e-06
97;1932-1;
98;1932-2;
99;1932-3;
100;1932-4;
101;1932-5;
102;1932-6;
103;1932-7;
104;1932-8;
105;1932-9;
106;1932-10;
107;1932-11;
108;1932-12;9e-06
109;1933-1;
110;1933-2;
111;1933-3;
112;1933-4;
113;1933-5;
114;1933-6;
115;1933-7;
116;1933-8;
117;1933-9;
118;1933-10;
119;1933-11;
120;1933-12;9e-06
121;1934-1;
122;1934-2;
123;1934-3;
124;1934-4;
125;1934-5;
126;1934-6;
127;1934-7;
128;1934-8;
129;1934-9;
130;1934-10;
131;1934-11;
132;1934-12;9e-06
133;1935-1;
134;1935-2;
135;1935-3;
136;1935-4;
137;1935-5;
138;1935-6;
139;1935-7;
140;1935-8;
141;1935-9;
142;1935-10;
143;1935-11;
144;1935-12;9e-06
145;1936-1;
146;1936-2;
147;1936-3;
148;1936-4;
149;1936-5;
150;1936-6;
151;1936-7;
152;1936-8;
153;1936-9;
154;1936-10;
155;1936-11;
156;1936-12;1e-05
157;1937-1;
158;1937-2;
159;1937-3;
160;1937-4;
161;1937-5;
162;1937-6;
163;1937-7;
164;1937-8;
165;1937-9;
166;1937-10;
167;1937-11;
168;1937-12;1.1e-05
169;1938-1;
170;1938-2;
171;1938-3;
172;1938-4;
173;1938-5;
174;1938-6;
175;1938-7;
176;1938-8;
177;1938-9;
178;1938-10;
179;1938-11;
180;1938-12;1.3e-05
181;1939-1;
182;1939-2;
183;1939-3;
184;1939-4;
185;1939-5;
186;1939-6;
187;1939-7;
188;1939-8;
189;1939-9;
190;1939-10;
191;1939-11;
192;1939-12;1.5e-05
193;1940-1;
194;1940-2;
195;1940-3;
196;1940-4;
197;1940-5;
198;1940-6;
199;1940-7;
200;1940-8;
201;1940-9;
202;1940-10;
203;1940-11;
204;1940-12;2.1e-05
205;1941-1;
206;1941-2;
207;1941-3;
208;1941-4;
209;1941-5;
210;1941-6;
211;1941-7;
212;1941-8;
213;1941-9;
214;1941-10;
215;1941-11;
216;1941-12;2.6e-05
217;1942-1;
218;1942-2;
219;1942-3;
220;1942-4;
221;1942-5;
222;1942-6;
223;1942-7;
224;1942-8;
225;1942-9;
226;1942-10;
227;1942-11;
228;1942-12;3.3e-05
229;1943-1;
230;1943-2;
231;1943-3;
232;1943-4;
233;1943-5;
234;1943-6;
235;1943-7;
236;1943-8;
237;1943-9;
238;1943-10;
239;1943-11;
240;1943-12;3.4e-05
241;1944-1;
242;1944-2;
243;1944-3;
244;1944-4;
245;1944-5;
246;1944-6;
247;1944-7;
248;1944-8;
249;1944-9;
250;1944-10;
251;1944-11;
252;1944-12;3.8e-05
253;1945-1;
254;1945-2;
255;1945-3;
256;1945-4;
257;1945-5;
258;1945-6;
259;1945-7;
260;1945-8;
261;1945-9;
262;1945-10;
263;1945-11;
264;1945-12;3.6e-05
265;1946-1;
266;1946-2;
267;1946-3;
268;1946-4;
269;1946-5;
270;1946-6;
271;1946-7;
272;1946-8;
273;1946-9;
274;1946-10;
275;1946-11;
276;1946-12;3.4e-05
277;1947-1;
278;1947-2;
279;1947-3;
280;1947-4;
281;1947-5;
282;1947-6;
283;1947-7;
284;1947-8;
285;1947-9;
286;1947-10;
287;1947-11;
288;1947-12;3.3e-05
289;1948-1;
290;1948-2;
291;1948-3;
292;1948-4;
293;1948-5;
294;1948-6;
295;1948-7;
296;1948-8;
297;1948-9;
298;1948-10;
299;1948-11;
300;1948-12;4.1e-05
