;Tarih;TP_PFVPBI01_K21
0;2012-1;25706107.7
1;2012-2;24272506.5
2;2012-3;24362744.3
3;2012-4;23776446.5
4;2012-5;22454419.5
5;2012-6;22011763.3
6;2012-7;20956881.4
7;2012-8;19935616.3
8;2012-9;19388308.4
9;2012-10;18966013.6
10;2012-11;17819865.0
11;2012-12;17863742.6
12;2013-1;17976922.75
13;2013-2;17112833.98
14;2013-3;16890488.81
15;2013-4;16654498.55
16;2013-5;16016905.32
17;2013-6;16255903.66
18;2013-7;16096780.05
19;2013-8;16432862.96
20;2013-9;15684683.52
21;2013-10;15430365.99
22;2013-11;15186525.93
23;2013-12;16209923.0
24;2014-1;16848985.39
25;2014-2;16331557.56
26;2014-3;15784959.45
27;2014-4;15000406.83
28;2014-5;14480923.61
29;2014-6;14066587.14
30;2014-7;12757819.97
31;2014-8;11843644.85
32;2014-9;11321655.95
33;2014-10;10694652.55
34;2014-11;10796864.58
35;2014-12;10960479.0
36;2015-1;10449778.97
37;2015-2;10876447.99
38;2015-3;10765384.02
39;2015-4;10796692.38
40;2015-5;10907455.79
41;2015-6;10335181.66
42;2015-7;10504066.32
43;2015-8;10505659.64
44;2015-9;10256090.39
45;2015-10;9529705.49
46;2015-11;9205036.57
47;2015-12;9747721.0
48;2016-1;9539981.2
49;2016-2;12138947.06
50;2016-3;9508350.22
51;2016-4;9262441.24
52;2016-5;9478430.43
53;2016-6;8790358.15
54;2016-7;9021878.92
55;2016-8;8650121.34
56;2016-9;8591290.12
57;2016-10;8481091.16
58;2016-11;10109666.14
59;2016-12;10542494.0
60;2017-1;10985791.26
61;2017-2;9815294.31
62;2017-3;11871407.92
63;2017-4;10696305.1
64;2017-5;10754214.07
65;2017-6;10581267.31
66;2017-7;10486343.71
67;2017-8;10444535.08
68;2017-9;10668777.1
69;2017-10;11059510.76
70;2017-11;11406663.57
71;2017-12;11966301.49
72;2018-1;12019281.07
73;2018-2;12291330.11
74;2018-3;20965086.51
75;2018-4;13283018.69
76;2018-5;13206598.59
77;2018-6;12060396.96
78;2018-7;13322550.42
79;2018-8;26390821.23
80;2018-9;26264396.23
81;2018-10;23606481.23
82;2018-11;22201492.23
83;2018-12;21738887.23
84;2019-1;21718650.0
85;2019-2;22353088.0
86;2019-3;47239589.23
87;2019-4;25270824.23
88;2019-5;24443385.23
89;2019-6;23294627.23
90;2019-7;22638721.0
91;2019-8;24847317.0
92;2019-9;22745952.23
93;2019-10;24020884.23
94;2019-11;24287973.0
95;2019-12;24766768.0
96;2020-1;25501556.0
97;2020-2;35050525.0
98;2020-3;29065392.23
99;2020-4;42910465.0
100;2020-5;28418711.23
101;2020-6;28557815.24
102;2020-7;40274966.0
103;2020-8;36401274.23
104;2020-9;42062492.23
105;2020-10;48745336.0
106;2020-11;43171248.23
107;2020-12;41739441.0
108;2021-1;51267609.76
109;2021-2;50806238.76
110;2021-3;57164826.76
111;2021-4;95980017.0
112;2021-5;100792380.76
113;2021-6;106296972.76
114;2021-7;96264199.0
115;2021-8;146907428.76
116;2021-9;153635301.76
117;2021-10;161514817.76
