;Tarih;TP_SANAYREV11_Y1
0;2005-1;60.2
1;2005-2;57.74
2;2005-3;57.05
3;2005-4;57.68
4;2005-5;58.22
5;2005-6;58.02
6;2005-7;59.32
7;2005-8;60.3
8;2005-9;60.96
9;2005-10;62.02
10;2005-11;62.19
11;2005-12;61.61
12;2006-1;62.07
13;2006-2;62.53
14;2006-3;64.05
15;2006-4;63.58
16;2006-5;64.14
17;2006-6;64.48
18;2006-7;64.4
19;2006-8;64.21
20;2006-9;64.19
21;2006-10;64.59
22;2006-11;64.34
23;2006-12;66.68
24;2007-1;69.38
25;2007-2;67.75
26;2007-3;68.94
27;2007-4;69.28
28;2007-5;70.4
29;2007-6;68.92
30;2007-7;68.61
31;2007-8;69.67
32;2007-9;70.17
33;2007-10;69.67
34;2007-11;69.89
35;2007-12;71.78
36;2008-1;70.79
37;2008-2;72.18
38;2008-3;72.18
39;2008-4;71.32
40;2008-5;71.05
41;2008-6;71.35
42;2008-7;69.92
43;2008-8;69.02
44;2008-9;68.78
45;2008-10;65.35
46;2008-11;62.9
47;2008-12;61.14
48;2009-1;57.0
49;2009-2;58.19
50;2009-3;57.55
51;2009-4;58.49
52;2009-5;60.35
53;2009-6;62.11
54;2009-7;63.18
55;2009-8;62.44
56;2009-9;63.13
57;2009-10;64.3
58;2009-11;67.01
59;2009-12;64.23
60;2010-1;63.5893683198
61;2010-2;65.089259156
62;2010-3;66.3454046721
63;2010-4;67.023305626
64;2010-5;68.875447481
65;2010-6;69.2635204922
66;2010-7;69.777513026
67;2010-8;71.4647742735
68;2010-9;71.5814049782
69;2010-10;72.2958913925
70;2010-11;74.5896980261
71;2010-12;75.7809107706
72;2011-1;79.0051938205
73;2011-2;77.8372407835
74;2011-3;77.5435728465
75;2011-4;77.4172159866
76;2011-5;78.2044963151
77;2011-6;79.6870216326
78;2011-7;81.2212719204
79;2011-8;83.6446290022
80;2011-9;79.1847044972
81;2011-10;83.6986592055
82;2011-11;82.9295206698
83;2011-12;82.9044416953
84;2012-1;82.0342046578
85;2012-2;80.8705014991
86;2012-3;82.7336415992
87;2012-4;83.6552804721
88;2012-5;83.9743343277
89;2012-6;83.3961763842
90;2012-7;84.1718549106
91;2012-8;82.9762094223
92;2012-9;84.8554650708
93;2012-10;84.9633613437
94;2012-11;83.7977208016
95;2012-12;84.9800504533
96;2013-1;85.3734211638
97;2013-2;87.2502354173
98;2013-3;87.0043515786
99;2013-4;87.7138446668
100;2013-5;87.8936921949
101;2013-6;90.6468421029
102;2013-7;90.1041888641
103;2013-8;87.6020595595
104;2013-9;92.6871794088
105;2013-10;91.7061744223
106;2013-11;92.2582950082
107;2013-12;91.840372064
108;2014-1;95.1503867978
109;2014-2;94.3413819265
110;2014-3;94.4630223144
111;2014-4;93.6470884548
112;2014-5;92.3665422312
113;2014-6;94.2373079649
114;2014-7;96.5400058988
115;2014-8;91.8386838653
116;2014-9;96.0924214644
117;2014-10;94.9404195662
118;2014-11;95.6760830937
119;2014-12;95.555709015
120;2015-1;95.1594729503
121;2015-2;95.1892522546
122;2015-3;99.0518847672
123;2015-4;99.4425376965
124;2015-5;99.4596820653
125;2015-6;100.4147656626
126;2015-7;99.7603004122
127;2015-8;102.6418362501
128;2015-9;102.7457075743
129;2015-10;100.2895704386
130;2015-11;102.5132366776
131;2015-12;103.3317532507
132;2016-1;102.5587925174
133;2016-2;103.6958033667
134;2016-3;102.6176883733
135;2016-4;102.8235670329
136;2016-5;104.5114042128
137;2016-6;104.0271519648
138;2016-7;97.6881568005
139;2016-8;104.9553094152
140;2016-9;102.0058932445
141;2016-10;106.4597557019
142;2016-11;105.7110313953
143;2016-12;105.0482737175
144;2017-1;105.850325393
145;2017-2;107.5282982693
146;2017-3;108.9484031925
147;2017-4;111.9314360023
148;2017-5;110.5355341623
149;2017-6;111.1633592821
150;2017-7;110.9387912109
151;2017-8;114.4143550553
152;2017-9;115.8312447154
153;2017-10;116.3196486199
154;2017-11;117.0417486258
155;2017-12;120.0952614488
156;2018-1;117.8059357903
157;2018-2;117.0368946433
158;2018-3;117.1030931913
159;2018-4;118.5480775733
