;Tarih;TP_TUFE1YI_T115
0;2012-1;100.89
1;2012-2;100.59
2;2012-3;101.73
3;2012-4;95.17
4;2012-5;93.12
5;2012-6;95.71
6;2012-7;96.39
7;2012-8;95.9
8;2012-9;102.75
9;2012-10;102.54
10;2012-11;99.27
11;2012-12;97.74
12;2013-1;96.72
13;2013-2;94.69
14;2013-3;94.56
15;2013-4;93.24
16;2013-5;88.47
17;2013-6;87.51
18;2013-7;86.45
19;2013-8;89.42
20;2013-9;92.71
21;2013-10;90.58
22;2013-11;89.61
23;2013-12;86.94
24;2014-1;94.36
25;2014-2;98.17
26;2014-3;101.45
27;2014-4;96.67
28;2014-5;94.53
29;2014-6;94.73
30;2014-7;96.06
31;2014-8;97.09
32;2014-9;94.02
33;2014-10;94.82
34;2014-11;91.0
35;2014-12;93.86
36;2015-1;95.16
37;2015-2;100.34
38;2015-3;102.87
39;2015-4;106.5
40;2015-5;106.54
41;2015-6;106.61
42;2015-7;104.84
43;2015-8;107.09
44;2015-9;113.3
45;2015-10;111.83
46;2015-11;106.83
47;2015-12;106.87
48;2016-1;112.0
49;2016-2;119.6
50;2016-3;118.19
51;2016-4;120.5
52;2016-5;127.2
53;2016-6;128.32
54;2016-7;133.06
55;2016-8;137.64
56;2016-9;138.14
57;2016-10;133.04
58;2016-11;139.88
59;2016-12;139.21
60;2017-1;148.96
61;2017-2;157.0
62;2017-3;156.71
63;2017-4;154.83
64;2017-5;146.8
65;2017-6;149.51
66;2017-7;147.97
67;2017-8;150.2
68;2017-9;151.03
69;2017-10;156.34
70;2017-11;170.07
71;2017-12;173.41
72;2018-1;177.27
73;2018-2;177.74
74;2018-3;180.65
75;2018-4;183.78
76;2018-5;191.61
77;2018-6;195.92
78;2018-7;195.4
79;2018-8;230.52
80;2018-9;251.93
81;2018-10;245.51
82;2018-11;233.67
83;2018-12;231.5
84;2019-1;241.52
85;2019-2;240.96
86;2019-3;244.79
87;2019-4;252.34
88;2019-5;261.03
89;2019-6;264.98
90;2019-7;262.2
91;2019-8;273.04
92;2019-9;281.97
93;2019-10;284.41
94;2019-11;279.96
95;2019-12;279.92
96;2020-1;296.44
97;2020-2;303.53
98;2020-3;318.23
99;2020-4;348.42
100;2020-5;366.92
101;2020-6;363.25
102;2020-7;377.01
103;2020-8;427.59
104;2020-9;433.3
105;2020-10;445.66
106;2020-11;448.72
107;2020-12;432.81
108;2021-1;421.2
109;2021-2;388.91
110;2021-3;400.76
111;2021-4;434.64
112;2021-5;465.57
113;2021-6;486.57
114;2021-7;469.11
115;2021-8;457.24
116;2021-9;456.57
117;2021-10;480.22
118;2021-11;570.45
119;2021-12;694.68
120;2022-1;744.7
121;2022-2;779.2
122;2022-3;865.24
123;2022-4;888.4
124;2022-5;904.84
125;2022-6;965.69
126;2022-7;963.28
127;2022-8;994.22
128;2022-9;993.97
129;2022-10;993.97
130;2022-11;1019.18
131;2022-12;1057.27
132;2023-1;1123.52
133;2023-2;1127.95
134;2023-3;1116.0
135;2023-4;1192.23
136;2023-5;1250.59
137;2023-6;1283.05
138;2023-7;1429.88
139;2023-8;1469.96
140;2023-9;1464.28
141;2023-10;1501.27
142;2023-11;1570.26
143;2023-12;1650.04
144;2024-1;1716.27
