;Tarih;TP_UR_K02
0;1968;4880.0
1;1969;5324.0
2;1970;5884.0
3;1971;7209.0
4;1972;8460.0
5;1973;10483.0
6;1974;13774.0
7;1975;17239.0
8;1976;21216.0
9;1977;26534.0
10;1978;38602.0
11;1979;66081.0
12;1980;119335.0
13;1981;176169.0
14;1982;227293.0
15;1983;291096.0
16;1984;451758.0
17;1985;702706.0
18;1986;995174.0
19;1987;1427282.0
20;1988;2404824.0
21;1989;4196709.0
22;1990;7066839.0
23;1991;11070462.0
24;1992;18897021.0
25;1993;33573525.0
26;1994;64182233.0
27;1995;127423385.0
28;1996;238896076.0
29;1997;470442977.0
30;1998;843358573.0
31;1999;1216609421.0
32;2000;1861759072.0
33;2001;2571977513.0
34;2002;3950138827.0
35;2003;5044135199.0
36;2004;5974903440.0
37;2005;6749476615.0
38;2006;7890261766.0
