;Tarih;TP_URALTIN_ALTINKG
0;2008-1;517.41
1;2008-2;482.79
2;2008-3;1244.42
3;2008-4;1061.97
4;2008-5;913.36
5;2008-6;970.66
6;2008-7;1090.49
7;2008-8;970.54
8;2008-9;832.92
9;2008-10;1039.61
10;2008-11;1005.38
11;2008-12;1079.48
12;2009-1;737.61
13;2009-2;584.67
14;2009-3;960.47
15;2009-4;1121.62
16;2009-5;1362.93
17;2009-6;1257.09
18;2009-7;1145.27
19;2009-8;1239.84
20;2009-9;1424.83
21;2009-10;1620.45
22;2009-11;1175.55
23;2009-12;1715.47
24;2010-1;1394.48
25;2010-2;1556.08
26;2010-3;1509.72
27;2010-4;1265.91
28;2010-5;1390.27
29;2010-6;1453.59
30;2010-7;1243.26
31;2010-8;1531.35
32;2010-9;1196.52
33;2010-10;1194.71
34;2010-11;1451.05
35;2010-12;1244.2
36;2011-1;1318.56
37;2011-2;1262.61
38;2011-3;1948.96
39;2011-4;1699.89
40;2011-5;1975.18
41;2011-6;1656.47
42;2011-7;1955.9
43;2011-8;2079.25
44;2011-9;2641.71
45;2011-10;2264.72
46;2011-11;2766.91
47;2011-12;2396.56
48;2012-1;2474.16
49;2012-2;2336.95
50;2012-3;2275.09
51;2012-4;2576.81
52;2012-5;2456.47
53;2012-6;2162.11
54;2012-7;2722.11
55;2012-8;2383.1
56;2012-9;2496.47
57;2012-10;2698.37
58;2012-11;2379.71
59;2012-12;2408.76
60;2013-1;2386.68
61;2013-2;2359.1
62;2013-3;2347.78
63;2013-4;2697.65
64;2013-5;2830.26
65;2013-6;2784.8
66;2013-7;3317.71
67;2013-8;3080.64
68;2013-9;2718.51
69;2013-10;3026.19
70;2013-11;3137.85
71;2013-12;2812.0
72;2014-1;2699.15
73;2014-2;2797.57
74;2014-3;2450.02
75;2014-4;2778.16
76;2014-5;2310.05
77;2014-6;2528.29
78;2014-7;2746.97
79;2014-8;2545.87
80;2014-9;2675.36
81;2014-10;2686.85
82;2014-11;2371.78
83;2014-12;2649.6
84;2015-1;2110.42
85;2015-2;2205.56
86;2015-3;2598.84
87;2015-4;2346.61
88;2015-5;2400.08
89;2015-6;2513.36
90;2015-7;2322.64
91;2015-8;2267.21
92;2015-9;2111.92
93;2015-10;2700.19
94;2015-11;2265.0
95;2015-12;2388.24
96;2016-1;1962.48
97;2016-2;1939.16
98;2016-3;2418.94
99;2016-4;2018.03
100;2016-5;2267.16
101;2016-6;1979.89
102;2016-7;1533.64
103;2016-8;2324.87
104;2016-9;1801.9
105;2016-10;1800.24
106;2016-11;2256.38
107;2016-12;2123.93
108;2017-1;1771.46
109;2017-2;1735.63
110;2017-3;2013.47
111;2017-4;1677.73
112;2017-5;1936.95
113;2017-6;1992.52
114;2017-7;1524.36
115;2017-8;2205.66
116;2017-9;2110.71
117;2017-10;1713.19
118;2017-11;1876.79
119;2017-12;2318.39
120;2018-1;1998.72
121;2018-2;1946.47
122;2018-3;2198.16
123;2018-4;2156.26
124;2018-5;2448.79
125;2018-6;2370.09
126;2018-7;2024.48
127;2018-8;2255.43
128;2018-9;1880.68
129;2018-10;2172.89
130;2018-11;2272.47
131;2018-12;3312.12
132;2019-1;2597.592
133;2019-2;2550.076
134;2019-3;2747.686
135;2019-4;2830.889
136;2019-5;2979.587
137;2019-6;3175.618
138;2019-7;3181.305
139;2019-8;2967.752
140;2019-9;3372.511
141;2019-10;3797.422
142;2019-11;3110.704
143;2019-12;3803.476
144;2020-1;3235.113
145;2020-2;2844.65
146;2020-3;3394.296
147;2020-4;2963.337
148;2020-5;3120.245
149;2020-6;3715.254
150;2020-7;3512.063
151;2020-8;3466.212
152;2020-9;4341.915
153;2020-10;3943.264
154;2020-11;3282.432
155;2020-12;3685.988
156;2021-1;3232.106
157;2021-2;2850.799
158;2021-3;3629.997
159;2021-4;2713.107
160;2021-5;3013.055
161;2021-6;3647.311
162;2021-7;3310.844
163;2021-8;3350.437
164;2021-9;3866.106
165;2021-10;3699.891
166;2021-11;3168.756
167;2021-12;2883.069
168;2022-1;3600.302
169;2022-2;2797.71
170;2022-3;3058.331
171;2022-4;2203.244
172;2022-5;2401.562
173;2022-6;2893.962
174;2022-7;2159.961
175;2022-8;2324.767
176;2022-9;2058.017
177;2022-10;2452.144
178;2022-11;2724.423
179;2022-12;2259.987
180;2023-1;2686.612
181;2023-2;2447.854
182;2023-3;2628.564
183;2023-4;2213.008
184;2023-5;2508.55
185;2023-6;2894.89
186;2023-7;3230.953
187;2023-8;3569.637
188;2023-9;3707.483
189;2023-10;3740.1
190;2023-11;3724.129
191;2023-12;3103.036
